target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,539.2549079810312,126.76,8782.1,1790296585.1524,1790296594.4177,0.819,1335.0,19,-420
960,960.0,539.5916012963808,131.91,9251.0,1790296606.3353,1790296615.6168,0.819,1335.0,18,-420
1065,1065.0,539.9228538627066,132.28,9251.0,1790296627.3682,1790296636.6239,0.819,1335.0,18,-420
1170,1170.0,539.8048577124999,126.11,8782.1,1790296648.3734,1790296657.6355,0.812,1335.0,18,-420
1275,1275.0,540.3715308047365,129.39,8782.1,1790296669.4548,1790296678.7152,0.838,1485.0,18,-420
1380,1380.0,540.5472232914742,137.73,8782.1,1790296690.4962,1790296699.7411,0.85,1515.0,18,-420
1485,1485.0,540.5720370486166,140.11,9251.0,1790296711.5648,1790296720.8132,0.863,1545.0,18,-420
1590,1590.0,540.8531850136319,149.42,9251.0,1790296732.6207,1790296741.8915,0.869,1560.0,18,-420
1695,1695.0,541.2350272944133,153.23,9251.0,1790296753.7338,1790296762.9865,0.894,1605.0,18,-420
1800,1800.0,541.5289380599646,158.19,8782.1,1790296774.7188,1790296783.9671,0.956,1710.0,18,-420
1905,1905.0,541.5986355960258,174.85,8754.5,1790296795.8006,1790296805.0284,1.031,1800.0,18,-420
2010,1949.1,541.6381163652271,186.47,8754.5,1790296816.8006,1790296826.0361,1.081,1845.0,18,-420
2115,1942.9,541.5943002187506,182.23,8754.5,1790296837.9182,1790296847.1637,1.072,1845.0,18,-420
