"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","8782.1","810","9251","True","0","none","132.39","14.94","145.96","51.6","53","94.4","102.94","True","1790296865.0669","1790296874.3352","13.036","9.1035","9.2693","0.1658","565627852573.4863","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9264.9","9251","9501","True","0","none","132.5","15.08","147.5","54.1","56","94.6","103.16","True","1790296886.1397","1790296895.3887","13.013","9.0864","9.2448","0.1584","566694819816.999","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","8782.1","810","9251","True","0","none","132.68","15.63","148.86","55.9","57","93.5","103.42","True","1790296907.2194","1790296916.4748","13.015","9.0754","9.2528","0.1775","567381882021.7468","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","137.72","37.82","150.58","57.6","58","95","102.25","True","1790296928.3684","1790296937.6057","12.953","9.068","9.2305","0.1625","567840772559.8617","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","142.46","37.47","154.46","54.8","55","95.1","106.86","True","1790296949.4063","1790296958.6191","12.995","9.0524","9.2185","0.1661","568820346668.0125","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","144.2","43.32","155.99","53.5","55","94.9","108","True","1790296970.4485","1790296979.6727","13.057","9.0542","9.2234","0.1692","568707131941.052","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","145.54","32.37","158.81","56.2","58","96.9","109.04","True","1790296991.5345","1790297000.7458","12.967","9.0476","9.2095","0.1619","569121315682.2496","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","151.84","25.98","162.45","58.2","59","97.9","113.7","True","1790297012.5746","1790297021.7675","12.995","9.0439","9.1933","0.1494","569355636965.8118","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","159.44","80.83","167.63","56.1","57","100","119.6","True","1790297033.6662","1790297042.8586","13.03","9.0386","9.1915","0.1529","569691231600.9987","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","162.14","26.7","179.08","54.8","56","94.8","128.42","True","1790297054.6315","1790297063.8342","12.997","9.0318","9.2038","0.1721","570121431812.686","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","8754.5","810","9251","True","0","none","180.17","29.66","201.57","56","58","94.1","143.19","True","1790297075.6861","1790297084.8676","12.99","9.0279","9.1826","0.1547","570365352836.9113","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"2010","1939.4","1935","1950","8754.5","810","9251","False","-70.6","below","191.7","31.15","215.34","57.3","59","93.9","152.36","True","1790297096.761","1790297105.9547","13.013","9.0273","9.1966","0.1692","570401632005.3622","byte/s","True","17","24","0x0000000000000400"
"2115","1946.5","1935","1950","8754.5","810","9251","False","-168.5","below","190.77","32.73","215.22","56.5","58","89.6","152.01","True","1790297117.8296","1790297127.029","13.041","9.0286","9.1954","0.1668","570323797315.3947","byte/s","True","17","24","0x0000000000000400"
