"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","8867.3","810","9251","True","0","none","125.64","13.99","138.23","53.1","55","93.7","103.05","True","1790297144.9802","1790297156.893","15.74","11.7165","11.9101","0.1936","330805243767.9213","byte/s","True","22","29","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","134.58","39.06","143.96","56.3","58","96.2","104.89","True","1790297168.8679","1790297180.1917","15.271","11.1193","11.3241","0.2048","348572730267.0899","byte/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","136.14","17.89","150.03","56.5","58","96.8","109.74","True","1790297192.0703","1790297202.8585","14.592","10.6078","10.789","0.1812","365382237793.96124","byte/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","141.35","47.03","151.5","54.9","56","95.5","108.74","True","1790297214.9112","1790297225.435","14.647","10.3129","10.5272","0.2143","375826931144.60376","byte/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","8806.7","810","9251","True","0","none","141.15","20.23","158.7","55.3","57","90.1","113.81","True","1790297237.4242","1790297247.5765","14.122","9.9974","10.1515","0.1541","387690297059.3475","byte/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","154.86","68.67","164.43","58.4","59","100","118.97","True","1790297259.7666","1790297269.7594","14.096","9.8204","9.9955","0.1751","394676642521.95703","byte/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","157.3","55.31","168.6","56.3","57","96.1","119.25","True","1790297281.8804","1790297291.6455","13.543","9.6192","9.7675","0.1483","402932060423.7092","byte/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","8782.1","810","9251","True","0","none","151.93","21.34","171.89","54.4","56","90.1","121.4","True","1790297303.3947","1790297313.0383","13.549","9.4866","9.6445","0.1579","408564750835.00995","byte/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","8782.1","810","9251","True","0","none","162.19","21.98","181.12","55.8","58","90.8","127.18","True","1790297324.9892","1790297334.42","13.055","9.2778","9.4264","0.1486","417757671196.58527","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","190.94","88.46","203.92","58","59","100","142.63","True","1790297346.2175","1790297355.4867","13.036","9.118","9.2713","0.1533","425079789486.6678","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","217.16","83.56","234.95","59.2","61","99.6","162.98","True","1790297367.2938","1790297376.4462","12.982","9.0001","9.1546","0.1545","430650033508.6072","byte/s","True","16","24","0x0000000000000001;0x0000000000000000"
"2010","1936.8","1935","1950","8754.5","810","9251","False","-73.2","below","220.21","32.6","249.44","59.5","62","92.3","174.19","True","1790297388.3041","1790297397.4121","13.026","8.9576","9.1086","0.151","432692096362.6478","byte/s","True","17","24","0x0000000000000600;0x0000000000000400"
"2115","1938.5","1935","1950","8754.5","810","9251","False","-176.5","below","216.96","32.35","247.14","59.3","61","89.8","171.11","True","1790297409.369","1790297418.4607","13.035","8.9546","9.0944","0.1398","432835854673.7772","byte/s","True","17","24","0x0000000000000600;0x0000000000000400"
