"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","115.65","92.24","117.97","54.4","56","99.2","98.81","True","1790299303.3191","1790299323.7748","24.979","20.0694","20.4605","0.3911","2744620500923.2563","FLOP/s","True","38","46","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","121.57","93.95","125.23","57.7","58","99.7","102.11","True","1790299336.2623","1790299354.4609","22.903","17.9493","18.1995","0.2502","3068811238975.223","FLOP/s","True","33","42","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","127.98","99.76","130.37","54.9","55","100","105.25","True","1790299367.1581","1790299383.6324","20.681","16.2496","16.4724","0.2228","3389803721584.534","FLOP/s","True","30","38","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","131.89","82.03","136.19","55.4","57","95.8","109.48","True","1790299395.8097","1790299410.909","19.622","14.8413","15.0995","0.2582","3711461879947.612","FLOP/s","True","28","36","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","142.23","57.76","148.9","58.7","59","98.3","117.25","True","1790299423.5334","1790299437.4352","18.436","13.665","13.9044","0.2395","4030962185675.7583","FLOP/s","True","26","34","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","151.27","63.81","157.98","56.8","58","99.2","122.89","True","1790299449.9548","1790299462.7935","17.412","12.6526","12.8427","0.1901","4353500268349.1846","FLOP/s","True","24","32","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","160.55","70.98","170.23","56.9","58","98.4","128.21","True","1790299475.3915","1790299487.403","16.224","11.7795","12.0094","0.2299","4676178242954.055","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","168.05","29.99","178.17","57","58","96.7","132.96","True","1790299499.6742","1790299510.9788","15.78","11.0946","11.3012","0.2066","4964826083011.812","FLOP/s","True","21","29","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","183.07","61.61","195.58","58.4","60","100","141.38","True","1790299523.5447","1790299534.1221","14.612","10.4173","10.5819","0.1646","5287647626569.577","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","216.1","122.72","225.6","60.2","62","100","164.65","True","1790299546.219","1790299556.2297","14.156","9.8611","10.0108","0.1497","5585890106186.285","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","259.3","112.53","276.93","63.2","65","97.8","194.52","True","1790299568.3495","1790299577.8619","13.574","9.3682","9.5144","0.1462","5879750939429.122","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"2010","1919.2","1890","1935","9251","9251","9251","False","-90.8","below","270.17","91.75","289.19","64.3","67","97.7","203.63","True","1790299589.9729","1790299599.4431","13.551","9.3019","9.4721","0.1702","5921688259192.126","FLOP/s","True","18","25","0x0000000000000404;0x0000000000000004;0x0000000000000400"
"2115","1919.2","1905","1935","9251","9251","9251","False","-195.8","below","266.17","51.66","289.38","64.1","67","96.7","200.89","True","1790299611.6356","1790299621.0918","13.584","9.3027","9.4622","0.1594","5921158964815.816","FLOP/s","True","18","25","0x0000000000000404;0x0000000000000004;0x0000000000000604;0x0000000000000600"
