"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","138.31","62.47","143.61","55.7","58","99.7","116.3","True","1790299639.202","1790299656.2376","21.096","16.7315","17.033","0.3014","8857653246722.23","FLOP/s","True","31","39","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","145.13","38.16","154.94","57.3","59","97.7","119.94","True","1790299668.4008","1790299683.8339","19.445","15.136","15.4309","0.2949","9791383096637.207","FLOP/s","True","29","36","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","153.4","42.12","162.52","56.4","57","99.3","125.44","True","1790299695.8582","1790299709.9918","18.475","13.866","14.1323","0.2664","10688206291964.02","FLOP/s","True","26","34","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","159.04","33.22","170.06","57.1","59","97.5","128.06","True","1790299722.4097","1790299735.4889","17.36","12.8414","13.0783","0.2369","11540984001365.355","FLOP/s","True","24","32","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","174.85","62.61","186.17","57.5","59","98.7","139.4","True","1790299747.8253","1790299760.0072","16.31","11.9834","12.1825","0.1991","12367309760191.82","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","189.03","75.59","200.86","58.4","60","95.4","147.66","True","1790299772.2377","1790299783.6803","15.743","11.2285","11.4455","0.217","13198771826230.514","FLOP/s","True","21","29","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","195.59","27.43","214.32","58.6","60","94.8","152.4","True","1790299796.0847","1790299806.9061","15.237","10.5926","10.8218","0.2292","13991118516811.752","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","208.7","59.46","225.44","59.5","61","97.9","159.28","True","1790299819.335","1790299829.5661","14.645","10.0732","10.2271","0.1539","14712514864637.426","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","223.6","32.06","245.79","60.2","63","93.7","170.08","True","1790299842.0383","1790299851.7656","14.122","9.5594","9.7286","0.1692","15503284040378.543","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","267.71","102.76","286.82","63.4","66","95.1","200.55","True","1790299864.1808","1790299873.4738","13.539","9.138","9.2959","0.1579","16218238826461.85","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1905","1807.9","1785","1905","9251","9251","9251","False","-97.1","below","269.88","89.58","290.17","63.7","66","95.2","203.38","True","1790299885.7685","1790299895.0575","13.593","9.1255","9.2881","0.1626","16240372528576.664","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2010","1787.6","1740","1815","9251","9251","9251","False","-222.4","below","266.71","60.73","289.3","64","66","99.1","200.93","True","1790299907.3901","1790299916.6793","13.589","9.1299","9.2841","0.1542","16232624197965.598","FLOP/s","True","17","25","0x0000000000000404;0x0000000000000004;0x0000000000000400"
"2115","1797.4","1725","1815","9251","9251","9251","False","-317.6","below","274.29","121.96","290.68","64.4","66","96.7","206.68","True","1790299929.1214","1790299938.4223","13.584","9.1465","9.3009","0.1545","16203189600522.037","FLOP/s","True","17","25","0x0000000000000004;0x0000000000000400"
