target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,8112.981993632385,128.44,9251.0,1790299957.365,1790299973.9464,0.819,1335.0,33,-420
960,960.0,9106.642084453888,138.82,9251.0,1790299986.5552,1790300001.2642,0.812,1335.0,29,-420
1065,1065.0,10092.87027900085,147.47,9251.0,1790300013.5455,1790300026.8781,0.812,1335.0,27,-420
1170,1170.0,11071.585969048368,155.95,9251.0,1790300039.508,1790300051.6064,0.812,1335.0,24,-420
1275,1275.0,12070.14052747341,167.13,9251.0,1790300064.2087,1790300075.2939,0.838,1485.0,22,-420
1380,1380.0,13065.454733930244,182.82,9251.0,1790300087.5019,1790300097.7569,0.85,1515.0,20,-420
1485,1485.0,14114.43559688597,194.45,9251.0,1790300110.1541,1790300119.6583,0.863,1530.0,19,-420
1590,1590.0,15075.355624000857,218.7,9251.0,1790300131.778,1790300140.6954,0.869,1545.0,18,-420
1695,1695.0,16081.613304080434,240.38,9251.0,1790300152.875,1790300161.2314,0.9,1605.0,17,-420
1800,1767.0,16813.780207948563,273.82,9251.0,1790300173.3802,1790300181.3591,0.938,1680.0,16,-420
1905,1769.0,16801.431808776717,271.11,9251.0,1790300193.9797,1790300201.973,0.938,1665.0,16,-420
2010,1760.0,16798.3816550044,274.87,9251.0,1790300214.3693,1790300222.3592,0.931,1672.5,16,-420
2115,1760.0,16797.52856314504,273.97,9251.0,1790300234.4053,1790300242.3736,0.931,1665.0,16,-420
