"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","137.52","53.16","146.66","54.2","56","100","101.72","True","1790300626.6565","1790300635.9006","13.053","9.1039","9.2462","0.1423","565604969942.2689","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","138.66","59.41","146.96","56.3","57","100","102.82","True","1790300647.6902","1790300656.9512","12.987","9.0927","9.2559","0.1632","566302687158.6613","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","8754.5","810","9251","True","0","none","132.8","15.9","150.32","57.5","59","94.2","104.06","True","1790300668.6776","1790300677.9046","13.031","9.0784","9.2275","0.1491","567192181921.4668","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","137.8","35.82","149.94","55.3","56","96.6","103.07","True","1790300689.8972","1790300699.1115","13.076","9.0689","9.217","0.1481","567784939755.019","byte/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","140.26","19.77","150.3","53.1","54","95.9","104.49","True","1790300711.0498","1790300720.2587","13.035","9.0682","9.2136","0.1454","567832068507.0739","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","141.8","62.78","150.47","53.6","55","100","105.85","True","1790300732.1695","1790300741.4037","13.029","9.0637","9.2326","0.1688","568110693012.334","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","141.48","52.13","151.77","55.9","57","97.7","105.85","True","1790300753.2521","1790300762.4633","13.028","9.0544","9.2126","0.1582","568694833759.9247","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1590","1515","1515","1515","9251","9251","9251","False","-75","below","143.38","52.76","154.99","57.9","59","97.7","107.52","True","1790300774.255","1790300783.4571","12.962","9.0502","9.2036","0.1534","568957161587.4292","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1695","1515","1515","1515","9251","9251","9251","False","-180","below","140.88","35.64","153.02","55.5","56","95.4","105.84","True","1790300795.3921","1790300804.5962","13.022","9.0491","9.2085","0.1594","569026750755.2069","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1800","1515","1515","1515","9251","9251","9251","False","-285","below","139.01","28.53","152","53.2","54","97.7","104.76","True","1790300816.4443","1790300825.6508","13.032","9.0536","9.2041","0.1505","568748609248.753","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1514.1","1500","1515","9251","9251","9251","False","-390.9","below","140.81","21.38","151.38","53.4","55","95.9","105.63","True","1790300837.5018","1790300846.7118","13.019","9.05","9.2056","0.1556","568971407496.1609","byte/s","True","16","24","0x0000000000000001;0x0000000000000000"
"2010","1515","1515","1515","9251","9251","9251","False","-495","below","145.75","81.29","152.31","56.1","57","100","109.29","True","1790300858.5836","1790300867.8059","12.994","9.0531","9.2237","0.1706","568774592967.4725","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"2115","1515","1515","1515","9251","9251","9251","False","-600","below","139.25","23.06","153.6","57.7","59","96.4","109.95","True","1790300879.5821","1790300888.7693","12.972","9.0521","9.1897","0.1376","568837991643.4631","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
