"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","147.61","60.3","155.88","54.9","56","97.9","113.16","True","1790301199.7439","1790301210.6589","14.628","10.7046","10.9159","0.2114","275986288975.7544","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","149.01","37.44","160.4","57.6","59","97.7","113.09","True","1790301222.4245","1790301232.8332","14.086","10.2112","10.4117","0.2005","289321827549.3073","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","157.5","77.06","165.59","56.2","57","100","119.8","True","1790301244.6263","1790301254.6213","14.075","9.8282","9.9936","0.1655","300596527727.6546","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9264.9","9251","9501","True","0","none","150.85","16.31","168.14","55","57","94.6","119.27","True","1790301266.6583","1790301276.3952","13.579","9.5689","9.7319","0.163","308740200562.5583","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","8782.1","810","9251","True","0","none","150.3","16.06","172.06","57.6","59","90.7","118.84","True","1790301288.3582","1790301297.885","13.525","9.3741","9.5293","0.1552","315156869891.08105","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","156.58","22.26","173.56","56.4","57","96.6","117.97","True","1790301310.0501","1790301319.4251","13.567","9.2192","9.3778","0.1586","320450982705.67896","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","168.66","93.42","176.24","55.5","56","100","125.6","True","1790301331.6302","1790301340.8692","13.009","9.0766","9.2376","0.161","325485333125.02606","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1590","1514.1","1500","1515","9251","9251","9251","False","-75.9","below","166.58","78.35","176.51","56.1","58","100","123.89","True","1790301352.7352","1790301361.9423","12.962","9.0458","9.213","0.1672","326595492936.07184","FLOP/s","True","17","24","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"1695","1515","1515","1515","9251","9251","9251","False","-180","below","167.65","77.81","177.71","58.6","60","100","124.64","True","1790301373.7239","1790301382.9309","12.985","9.0457","9.2036","0.1579","326598161096.9959","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1800","1515","1515","1515","9251","9251","9251","False","-285","below","160.02","21.41","177.19","56.3","58","95.2","125.51","True","1790301394.6554","1790301403.8639","12.956","9.0426","9.2067","0.1641","326710790741.1891","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1514.1","1500","1515","9251","9251","9251","False","-390.9","below","165.72","69.8","176.48","55.2","56","100","123.37","True","1790301415.7712","1790301425.0101","12.995","9.0494","9.2378","0.1885","326466137632.1451","FLOP/s","True","17","24","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"2010","1514.1","1500","1515","9251","9251","9251","False","-495.9","below","164.37","59.56","176.13","55.8","58","98.1","122.31","True","1790301436.838","1790301446.0424","12.997","9.0492","9.203","0.1538","326471718705.17053","FLOP/s","True","17","24","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"2115","1515","1515","1515","8754.5","810","9251","False","-600","below","156.52","19.48","179.15","57.9","60","92.7","123.02","True","1790301457.8142","1790301467.0253","13.058","9.0482","9.2077","0.1595","326507713452.4014","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
