target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,275.9862889757544,147.61,9251.0,1790301199.7439,1790301210.6589,0.819,1335.0,22,-420
960,960.0,289.32182754930733,149.01,9251.0,1790301222.4245,1790301232.8332,0.812,1335.0,20,-420
1065,1065.0,300.5965277276546,157.5,9251.0,1790301244.6263,1790301254.6213,0.819,1335.0,20,-420
1170,1170.0,308.7402005625583,150.85,9264.9,1790301266.6583,1790301276.3952,0.819,1335.0,19,-420
1275,1275.0,315.15686989108104,150.3,8782.1,1790301288.3582,1790301297.885,0.812,1335.0,19,-420
1380,1380.0,320.45098270567894,156.58,9251.0,1790301310.0501,1790301319.4251,0.819,1335.0,18,-420
1485,1485.0,325.48533312502605,168.66,9251.0,1790301331.6302,1790301340.8692,0.819,1410.0,18,-420
1590,1514.1,326.5954929360718,166.58,9251.0,1790301352.7352,1790301361.9423,0.819,1440.0,18,-420
1695,1515.0,326.5981610969959,167.65,9251.0,1790301373.7239,1790301382.9309,0.819,1440.0,18,-420
1800,1515.0,326.7107907411891,160.02,9251.0,1790301394.6554,1790301403.8639,0.819,1440.0,19,-420
1905,1514.1,326.4661376321451,165.72,9251.0,1790301415.7712,1790301425.0101,0.819,1440.0,19,-420
2010,1514.1,326.47171870517053,164.37,9251.0,1790301436.838,1790301446.0424,0.819,1440.0,18,-420
2115,1515.0,326.50771345240145,156.52,8754.5,1790301457.8142,1790301467.0253,0.819,1440.0,18,-420
