"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","142.54","18.68","152.47","56.5","58","96.9","121.21","True","1790302443.725","1790302462.576","22.825","18.501","18.8512","0.3502","6436078859299.559","FLOP/s","True","35","42","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","154.81","47.71","162.48","56.9","58","97.5","129.22","True","1790302474.5766","1790302491.3563","20.629","16.47","16.7819","0.312","7229745328412.8125","FLOP/s","True","31","38","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","163.52","38.61","173.5","57.9","59","97","134.06","True","1790302503.1256","1790302518.2442","18.958","14.8538","15.1174","0.2636","8016382684472.331","FLOP/s","True","27","35","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","172.74","34.75","184.24","57.9","59","97.6","139.04","True","1790302530.1557","1790302543.9547","17.957","13.546","13.7922","0.2462","8790304874724.6045","FLOP/s","True","25","33","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","179.91","27.34","194.46","57.8","59","98.3","143.52","True","1790302556.2118","1790302568.9305","16.782","12.4918","12.7253","0.2334","9532143336893.656","FLOP/s","True","23","31","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","8867.3","810","9251","True","0","none","184.41","19.06","205.91","57.8","60","92.6","150.76","True","1790302581.0286","1790302592.8046","15.744","11.5805","11.772","0.1915","10282277699688.66","FLOP/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","198.12","20.52","217.86","58.6","61","95.3","158.54","True","1790302604.8349","1790302615.7132","14.615","10.6825","10.8731","0.1906","11146637136355.03","FLOP/s","True","21","27","0x0000000000000001;0x0000000000000000"
"1590","1513.4","1485","1515","9251","9251","9251","False","-76.6","below","204.68","42.4","221.94","59.1","61","96.7","157.35","True","1790302627.612","1790302638.2892","14.66","10.4813","10.6747","0.1934","11360604347978.031","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1695","1512","1485","1515","8829","810","9251","False","-183","below","199.27","19.71","222.59","58.7","61","93","159.96","True","1790302650.1843","1790302660.8481","14.634","10.4735","10.6644","0.1909","11369044717300.637","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1800","1514.2","1500","1515","9251","9251","9251","False","-285.8","below","206.52","55.5","222.13","59.2","61","95.2","158.77","True","1790302673.0271","1790302683.7057","14.635","10.4843","10.6814","0.1972","11357383061996.678","FLOP/s","True","19","27","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"1905","1514.2","1500","1515","9251","9251","9251","False","-390.8","below","203.93","30.63","222.58","59.1","61","97.6","156.61","True","1790302695.7604","1790302706.4095","14.66","10.475","10.6513","0.1763","11367439482076.441","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"2010","1514.2","1500","1515","9251","9251","9251","False","-495.8","below","210.49","91.81","222.1","59.4","61","100","161.28","True","1790302718.4149","1790302729.0966","14.67","10.4796","10.6827","0.203","11362385356344.695","FLOP/s","True","19","27","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"2115","1514.2","1500","1515","9251","9251","9251","False","-600.8","below","205.43","45.11","222.76","59.2","61","95.9","157.43","True","1790302741.1712","1790302751.8479","14.566","10.4746","10.6814","0.2068","11367902989256.342","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
