target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,2761.2684271290336,115.52,9136.1,1790303099.139,1790303119.4213,0.819,1335.0,41,-420
960,960.0,3086.381396587067,122.79,9251.0,1790303132.0648,1790303150.1495,0.819,1335.0,36,-420
1065,1065.0,3409.2953206993166,127.26,9251.0,1790303162.8,1790303179.2042,0.819,1335.0,33,-420
1170,1170.0,3729.4843291086754,134.11,9251.0,1790303191.5134,1790303206.5142,0.819,1335.0,30,-420
1275,1275.0,4049.5487885486027,136.98,9251.0,1790303218.9601,1790303232.7855,0.812,1335.0,28,-420
1380,1380.0,4368.015223856816,143.16,9251.0,1790303245.4464,1790303258.2682,0.819,1335.0,26,-420
1485,1485.0,4688.092850851078,147.58,9251.0,1790303270.938,1790303282.8848,0.819,1410.0,24,-420
1590,1513.6,4772.424536680781,149.04,9251.0,1790303295.1998,1790303306.9319,0.819,1440.0,24,-420
1695,1513.6,4774.487938395847,148.32,9251.0,1790303319.5397,1790303331.2842,0.819,1440.0,24,-420
1800,1514.3,4775.344458825435,149.1,9251.0,1790303343.9413,1790303355.6812,0.819,1440.0,23,-420
1905,1514.3,4773.343231498545,149.56,9251.0,1790303368.3079,1790303380.0464,0.819,1440.0,24,-420
2010,1514.3,4773.669330363838,148.99,9251.0,1790303392.5509,1790303404.3054,0.819,1440.0,23,-420
2115,1514.3,4773.624692356047,151.69,9251.0,1790303416.8611,1790303428.6076,0.819,1440.0,24,-420
