target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,538.925513477457,131.34,9251.0,1790306960.5889,1790306969.8887,0.819,1335.0,19,-420
960,960.0,539.3687779955442,129.72,9251.0,1790306981.7524,1790306991.0484,0.819,1335.0,19,-420
1065,1065.0,539.594827340636,129.44,9251.0,1790307003.3946,1790307012.6764,0.819,1335.0,18,-420
1170,1170.0,539.4389262696494,135.82,9251.0,1790307024.5073,1790307033.758,0.812,1335.0,18,-420
1275,1275.0,539.2914639021857,136.51,9251.0,1790307046.0678,1790307055.3578,0.819,1335.0,18,-420
1380,1380.0,539.4990805656839,136.1,9251.0,1790307067.1283,1790307076.3876,0.819,1335.0,18,-420
1485,1485.0,539.9580363424569,134.75,9251.0,1790307088.2638,1790307097.5212,0.819,1410.0,19,-420
1590,1590.0,540.7262637051252,142.32,9251.0,1790307109.2664,1790307118.5214,0.85,1515.0,18,-420
1695,1695.0,540.7903382310262,151.96,9251.0,1790307130.356,1790307139.6294,0.894,1605.0,18,-420
1800,1800.0,541.089908730105,168.16,9251.0,1790307151.4085,1790307160.6368,0.95,1710.0,18,-420
1905,1905.0,541.3923736166096,185.88,9251.0,1790307172.4536,1790307181.711,1.031,1800.0,18,-420
2010,1950.0,541.8049175372585,197.08,9251.0,1790307193.5729,1790307202.8143,1.081,1845.0,19,-420
2115,1950.0,541.5759516672631,197.91,9251.0,1790307214.5598,1790307223.7994,1.081,1845.0,19,-420
