target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,565.6533717179061,132.22,9251.0,1790307241.8558,1790307251.1276,0.819,1335.0,18,-420
960,960.0,566.6104241376205,136.91,9251.0,1790307262.9019,1790307272.1518,0.819,1335.0,18,-420
1065,1065.0,566.8602294211628,139.29,9251.0,1790307284.0361,1790307293.2732,0.812,1335.0,18,-420
1170,1170.0,567.3728231809099,140.48,9251.0,1790307305.1355,1790307314.3599,0.819,1335.0,19,-420
1275,1275.0,568.0801446220456,139.75,9251.0,1790307326.195,1790307335.4088,0.812,1335.0,18,-420
1380,1380.0,568.5377050571591,140.52,9251.0,1790307347.2447,1790307356.4556,0.819,1335.0,18,-420
1485,1485.0,568.7689449507784,138.89,9251.0,1790307368.325,1790307377.5423,0.819,1410.0,18,-420
1590,1590.0,568.7533962064806,151.48,9251.0,1790307389.4318,1790307398.6394,0.85,1515.0,19,-420
1695,1695.0,569.2320020919733,158.25,9251.0,1790307410.5749,1790307419.7831,0.894,1605.0,19,-420
1800,1800.0,570.0087397576282,166.34,9251.0,1790307431.7459,1790307440.9356,0.95,1710.0,18,-420
1905,1905.0,570.2573387573613,188.12,9251.0,1790307452.6673,1790307461.8336,1.031,1800.0,19,-420
2010,1950.0,570.4662787424585,199.22,9251.0,1790307473.7342,1790307482.9234,1.081,1845.0,18,-420
2115,1950.0,570.2693951424724,197.48,9251.0,1790307494.7912,1790307503.9895,1.081,1845.0,18,-420
