"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","144.2","33.52","155.43","54.3","56","97.8","110.62","True","1790307813.3648","1790307824.2759","14.653","10.6999","10.9036","0.2037","276107430449.1274","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","150.95","56.3","160.76","57.1","58","96.9","116.14","True","1790307836.1932","1790307846.5989","14.61","10.2054","10.4051","0.1996","289484110162.3166","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","151.92","28.77","164.83","55.7","57","98.2","115.66","True","1790307858.8786","1790307868.8588","14.122","9.8251","9.9777","0.1525","300689030594.78186","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","155.87","18.62","166.99","55.4","57","96.8","116.8","True","1790307880.9513","1790307890.6747","13.525","9.5658","9.7204","0.1546","308839647129.6962","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","161.56","79.35","171.27","58.2","59","100","121.28","True","1790307902.5446","1790307912.072","13.558","9.3686","9.5257","0.157","315340195181.8077","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","162.84","66.87","173.14","56.6","57","98.1","120.76","True","1790307924.1296","1790307933.5037","13.039","9.2062","9.3707","0.1645","320905990150.1323","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","162.28","45.49","175.33","55.1","56","95.1","120.8","True","1790307945.2744","1790307954.5071","13.006","9.0666","9.2336","0.167","325844458504.9986","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","168.29","31.44","183.73","56.4","58","98.6","124.99","True","1790307966.3624","1790307975.4967","12.962","8.9962","9.1399","0.1437","328394437811.8581","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","184.08","53.73","202.5","57.9","60","94.8","137.57","True","1790307987.3498","1790307996.4661","13.047","8.9542","9.1167","0.1625","329937052209.95264","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","208.74","110.69","220.54","58.9","60","100","155.32","True","1790308008.5718","1790308017.6625","12.998","8.9278","9.0899","0.1621","330910203396.2232","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","239.5","101.69","255.86","60.7","63","98.4","178.24","True","1790308029.6825","1790308038.7718","12.974","8.9191","9.0886","0.1695","331234480072.6232","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"2010","1936.9","1935","1950","9251","9251","9251","False","-73.1","below","254.94","115.68","271.45","61.8","64","100","190.47","True","1790308050.6465","1790308059.7291","13.012","8.9191","9.078","0.1588","331233826450.791","FLOP/s","True","16","24","0x0000000000000600;0x0000000000000400;0x0000000000000624"
"2115","1937.8","1935","1950","9251","9251","9251","False","-177.2","below","253.46","92.79","271.33","61.9","64","97.6","189.52","True","1790308071.7054","1790308080.7711","13.023","8.9195","9.0663","0.1468","331218745585.6747","FLOP/s","True","16","24","0x0000000000000600;0x0000000000000400"
