"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","127.63","21.04","137.8","53.7","56","98.9","101.45","True","1790312253.415","1790312265.3417","16.198","11.7211","11.9325","0.2113","330674647687.0445","byte/s","True","22","30","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","136.69","56","144.83","57","58","97.4","106.3","True","1790312277.6063","1790312288.9303","15.127","11.1264","11.3251","0.1987","348351716607.34174","byte/s","True","21","28","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","139.72","51.98","148.33","55.5","56","96.2","107.6","True","1790312300.7433","1790312311.5683","14.635","10.6207","10.8259","0.2052","364937590446.7373","byte/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","8806.7","810","9251","True","0","none","137.43","15.98","150.77","54.9","57","94.8","106.3","True","1790312323.6301","1790312334.066","14.648","10.2347","10.4353","0.2006","378699087455.2938","byte/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","150.46","64.53","160.97","58.1","59","100","115.66","True","1790312346.1725","1790312356.3033","14.077","9.9528","10.1321","0.1793","389426250773.9456","byte/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","150.37","33.1","163.54","56.3","57","97.1","115.86","True","1790312368.4275","1790312378.3919","14.07","9.7765","9.9632","0.1867","396448476238.24536","byte/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","154.31","30.15","168.05","54.9","56","97.5","116.98","True","1790312390.447","1790312400.1946","13.586","9.5847","9.7468","0.1621","404381624208.3437","byte/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","161.36","70.89","171.32","56.4","58","100","122.39","True","1790312412.1423","1790312421.747","13.555","9.4506","9.6089","0.1584","410121612393.31354","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","170.61","66.25","183.55","58.1","59","98","129.57","True","1790312433.7288","1790312443.1079","13.588","9.2407","9.3822","0.1415","419438108300.092","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","184.86","43.42","201.02","58.1","59","96.9","138.33","True","1790312455.3814","1790312464.6293","13.032","9.0839","9.25","0.1661","426676022056.40576","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","208.5","30.34","234.07","59.4","61","94.8","156.31","True","1790312476.5394","1790312485.6895","12.974","8.9649","9.148","0.1831","432338651834.03986","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"2010","1937.6","1935","1950","8754.5","810","9251","False","-72.4","below","222.5","31.61","247.91","60.1","62","94.1","167.03","True","1790312497.5996","1790312506.6989","12.997","8.9349","9.099","0.1641","433792441823.1972","byte/s","True","17","24","0x0000000000000400;0x0000000000000600;0x0000000000000624"
"2115","1940.6","1935","1950","9251","9251","9251","False","-174.4","below","234.63","105.29","249.41","60.9","62","100","176.06","True","1790312518.5934","1790312527.692","13.006","8.9286","9.0989","0.1704","434097762094.279","byte/s","True","16","24","0x0000000000000600;0x0000000000000400"
