"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","146","63.01","154.05","54.4","56","99","113.26","True","1790312545.6998","1790312556.6232","15.202","10.7074","10.9273","0.2198","275912167234.5781","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","148.62","41.95","160.62","57.3","59","96.4","112.63","True","1790312568.8572","1790312579.2845","14.09","10.2283","10.4293","0.201","288836196643.96674","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","8782.1","810","9251","True","0","none","148.25","16.26","163.74","55.6","57","94.5","113.18","True","1790312591.1692","1790312601.1921","14.138","9.8507","10.0241","0.1734","299907326022.68463","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","154.73","53.58","166.1","55.5","57","96.5","116.03","True","1790312613.2743","1790312623.0415","13.522","9.5966","9.7668","0.1702","307851048069.77625","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","161.79","39.53","175.85","58.4","60","95.4","122.29","True","1790312634.9051","1790312644.4447","13.563","9.3745","9.5402","0.1657","315143970439.3202","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","164.84","30.52","181.21","57.2","58","97.7","124.43","True","1790312656.4667","1790312665.8456","13.55","9.2163","9.379","0.1627","320552559746.9304","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","176.8","88.91","186.21","56.4","57","100","131.4","True","1790312678.067","1790312687.3397","12.983","9.0993","9.2708","0.1715","324673548703.0036","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","178.6","79.75","191.41","57.1","59","100","132.72","True","1790312699.1304","1790312708.3539","13.019","9.0452","9.2201","0.175","326617474972.3942","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","187.11","75.19","198.58","57.4","58","99.8","139.43","True","1790312720.1811","1790312729.3314","13.037","9.0102","9.1471","0.1369","327884898876.78735","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","200.63","54.71","218.35","58.5","60","95.1","149.18","True","1790312741.331","1790312750.4808","13.017","8.9878","9.1473","0.1594","328701208033.04016","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","234.2","69.53","255.46","60.9","63","95.4","174.1","True","1790312762.3863","1790312771.5463","13.011","8.9777","9.1599","0.1822","329073773452.41956","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"2010","1937.6","1935","1950","9251","9251","9251","False","-72.4","below","245.11","39.95","270.95","61.8","64","97.6","183.33","True","1790312783.5568","1790312792.6903","13.025","8.9776","9.1307","0.1531","329077545269.37103","FLOP/s","True","17","24","0x0000000000000600;0x0000000000000400"
"2115","1937.6","1935","1950","9251","9251","9251","False","-177.4","below","253.45","35.94","271.4","61.9","64","95.8","189.2","True","1790312804.5898","1790312813.726","12.989","8.9723","9.1393","0.167","329270125392.24554","FLOP/s","True","17","24","0x0000000000000600;0x0000000000000400"
