target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,282.4714660149948,100.13,9251.0,1790312831.956,1790312851.4155,0.819,1335.0,39,-420
960,960.0,317.3319194378896,106.43,9251.0,1790312863.7843,1790312881.122,0.812,1335.0,34,-420
1065,1065.0,351.9679357306929,110.29,9251.0,1790312893.0745,1790312908.6829,0.819,1335.0,31,-420
1170,1170.0,386.6814939117834,112.95,9251.0,1790312920.711,1790312934.9211,0.819,1335.0,29,-420
1275,1275.0,421.33113241969977,123.39,9251.0,1790312947.1411,1790312960.2024,0.838,1485.0,26,-420
1380,1380.0,455.9798654596762,132.3,9251.0,1790312972.4675,1790312984.5005,0.85,1515.0,24,-420
1485,1485.0,490.8247003512594,138.69,9251.0,1790312996.9857,1790313008.1824,0.863,1545.0,22,-420
1590,1590.0,524.6826094155826,145.44,9251.0,1790313020.0954,1790313030.5862,0.869,1545.0,21,-420
1695,1695.0,560.519868994503,162.83,9251.0,1790313042.8462,1790313052.6395,0.894,1605.0,20,-420
1800,1800.0,595.7198874334933,188.68,9251.0,1790313064.8997,1790313074.1034,0.956,1710.0,19,-420
1905,1905.0,630.4033386187136,224.84,9251.0,1790313086.0422,1790313094.7749,1.038,1800.0,18,-420
2010,1934.1,639.4390610167333,239.7,9251.0,1790313107.1503,1790313115.756,1.069,1830.0,17,-420
2115,1935.0,638.9259512970018,236.57,9251.0,1790313127.6927,1790313136.2992,1.081,1830.0,17,-420
