"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","123.37","57.41","128.18","54.9","57","97.8","105.59","True","1790313154.7066","1790313173.9484","23.381","18.8826","19.2412","0.3586","1432343055704.6667","FLOP/s","True","35","43","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","129.16","17.43","137.77","58.2","59","96.1","108.69","True","1790313186.1301","1790313203.2997","21.093","16.8219","17.1682","0.3463","1607801808411.9524","FLOP/s","True","32","39","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","139.61","60.2","145.3","56.4","57","97.3","115.63","True","1790313215.2117","1790313230.6707","19.447","15.1664","15.458","0.2916","1783303935126.2646","FLOP/s","True","28","36","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","145.97","65.74","154.1","56.4","58","96.9","118.48","True","1790313242.7786","1790313256.8358","17.912","13.821","14.061","0.24","1956901175934.6116","FLOP/s","True","26","33","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","160.41","75.66","167.2","57","58","97.1","128.91","True","1790313268.7492","1790313281.6994","16.76","12.6964","12.9468","0.2504","2130229696711.898","FLOP/s","True","24","31","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","165.6","24.72","179.74","57.5","59","97.3","130.54","True","1790313293.6151","1790313305.5564","15.761","11.7382","11.9411","0.2029","2304123134834.4033","FLOP/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","181.19","68.87","193.04","58.2","60","95.9","141.43","True","1790313317.355","1790313328.4614","15.128","10.9046","11.1071","0.2026","2480278242734.5176","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","187.65","25.53","206.21","58.1","60","97.1","144.81","True","1790313340.6217","1790313351.018","14.628","10.2004","10.4008","0.2004","2651507940302.1646","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","213.47","83.19","228.08","59.9","61","97.9","160.22","True","1790313363.294","1790313373.0242","13.541","9.5682","9.736","0.1678","2826692809252.9404","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","243.94","60.6","266.68","62.1","64","94.9","180.22","True","1790313384.9347","1790313394.1299","12.982","9.0223","9.193","0.1706","2997706688353.743","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1856.2","1845","1890","9251","9251","9251","False","-48.8","below","266.07","64.54","289.69","64.1","66","95.8","197.69","True","1790313405.9471","1790313414.906","13.04","8.795","8.9595","0.1644","3075179541082.622","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000004"
"2010","1846.9","1800","1875","9251","9251","9251","False","-163.1","below","260.89","35.6","289.38","63.9","67","95.3","195.07","True","1790313427.1138","1790313436.0312","13.046","8.7793","8.9176","0.1383","3080695413686.452","FLOP/s","True","16","24","0x0000000000000004;0x0000000000000600"
"2115","1848.5","1830","1920","8754.5","810","9251","False","-266.5","below","267.69","32.95","290.02","64.3","67","90.4","199.13","True","1790313448.2986","1790313457.2638","12.979","8.7979","8.9635","0.1656","3074173964092.185","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000400"
