"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","128.49","97.81","131.47","56","58","100","105.96","True","1790315073.7424","1790315090.2577","21.181","16.1812","16.5124","0.3311","8153986230480.854","FLOP/s","True","30","39","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","135.88","65.66","140.37","57.3","58","97.2","108.95","True","1790315103.0126","1790315117.6718","19.516","14.4211","14.6633","0.2422","9149213377974.217","FLOP/s","True","27","36","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","148.39","124.21","151.32","56.6","58","99.7","116.18","True","1790315130.497","1790315143.7536","17.876","13.0158","13.2545","0.2387","10137009938927.03","FLOP/s","True","24","33","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","153.15","73.79","159.68","57.8","59","100","117.86","True","1790315156.371","1790315168.4401","16.839","11.857","12.0668","0.2097","11127713743812.287","FLOP/s","True","22","31","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","171.7","95.78","178.09","58.2","59","100","130.43","True","1790315181.2414","1790315192.265","15.76","10.8805","11.0275","0.147","12126363954111.373","FLOP/s","True","20","29","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","187.02","132.41","192.64","59.1","60","100","139","True","1790315205.0226","1790315215.2392","14.626","10.051","10.2181","0.1671","13127215022041.959","FLOP/s","True","18","27","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","199.78","99.61","210.53","59.8","61","100","144.86","True","1790315227.7357","1790315237.2189","14.137","9.311","9.4861","0.1751","14170465778746.865","FLOP/s","True","17","26","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","216.64","93.79","230.19","60.7","63","97.6","159.72","True","1790315249.774","1790315258.6493","13.065","8.7112","8.8785","0.1672","15146151971386.824","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","236.47","64.03","258.23","62.4","64","97.8","171.62","True","1790315270.9311","1790315279.266","12.5","8.1673","8.3364","0.169","16154760841556.293","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000000"
"1800","1769","1755","1800","9251","9251","9251","False","-31","below","262.27","48.12","289.43","64.1","66","98.1","191.06","True","1790315291.507","1790315299.4682","12.552","7.8337","7.957","0.1233","16842872903807.56","FLOP/s","True","15","23","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1905","1761","1710","1785","9251","9251","9251","False","-144","below","263.11","49.84","289.42","63.6","67","95.9","193.29","True","1790315312.1235","1790315320.08","12.438","7.8281","7.9569","0.1288","16854906369727.303","FLOP/s","True","15","23","0x0000000000000001;0x0000000000000004"
"2010","1761","1725","1800","9251","9251","9251","False","-249","below","262.43","49.3","289.32","63.8","67","94.1","193.72","True","1790315332.6314","1790315340.5926","12.478","7.8344","7.9632","0.1287","16841190002319.785","FLOP/s","True","15","23","0x0000000000000004;0x0000000000000400"
"2115","1760","1695","1785","9251","9251","9251","False","-355","below","263.6","41.32","291.15","64.1","67","93.3","192.62","True","1790315353.1463","1790315361.0914","12.473","7.8284","7.9459","0.1176","16854266266476.148","FLOP/s","True","15","23","0x0000000000000004;0x0000000000000400"
