"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","130.6","49.76","137.91","53.9","56","96.7","102.53","True","1790316025.1444","1790316037.0725","15.714","11.7239","11.9259","0.202","330596237443.2942","byte/s","True","22","29","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","133.22","21.35","145.68","56.7","58","98.8","103.87","True","1790316048.9053","1790316060.2243","15.278","11.129","11.3243","0.1953","348268733870.443","byte/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","138.52","40.82","148.24","55.4","56","95.6","106.71","True","1790316072.2398","1790316083.0623","14.616","10.6213","10.823","0.2017","364916768839.4286","byte/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","138.03","18.33","150.95","54.8","57","96.5","106.79","True","1790316094.9392","1790316105.3858","14.649","10.2353","10.4498","0.2145","378679392654.4337","byte/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","145.27","52.81","155.58","57.9","59","97.9","110.95","True","1790316117.6306","1790316127.7448","14.1","9.95","10.1101","0.1601","389536029817.07294","byte/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","145.58","39.25","157.14","55.7","56","95.5","111.01","True","1790316139.7586","1790316149.6429","14.095","9.7233","9.8792","0.1558","398616262157.498","byte/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","8782.1","810","9251","True","0","none","148.17","20.71","159.06","54.3","56","94.5","112.23","True","1790316162.0181","1790316171.7355","13.616","9.5338","9.7156","0.1818","406540453357.49774","byte/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","156.07","46.09","170.83","57.1","59","95","118.37","True","1790316183.7142","1790316193.2492","13.55","9.3655","9.5332","0.1677","413846663395.1338","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","167.43","42.9","182.22","56.9","58","95.4","127.48","True","1790316205.2743","1790316214.6445","13.491","9.2181","9.3731","0.155","420464227286.5511","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","185.98","55.48","201.18","57.5","59","95.5","139.1","True","1790316226.8058","1790316236.0652","13.02","9.085","9.2544","0.1693","426622914365.79266","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","8754.5","810","9251","True","0","none","207.53","30.71","233.19","58.7","61","94.8","157.48","True","1790316248.0283","1790316257.2127","13.57","9.0222","9.1885","0.1664","429595028953.68567","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"2010","1939.7","1935","1950","9251","9251","9251","False","-70.3","below","235.08","127.38","246.99","60.7","62","100","175.88","True","1790316269.4839","1790316278.6154","13.002","8.9806","9.1344","0.1538","431581757616.63495","byte/s","True","16","24","0x0000000000000600;0x0000000000000400"
"2115","1939.7","1935","1950","9251","9251","9251","False","-175.3","below","232.29","108.67","246.95","60.7","62","100","174.44","True","1790316290.576","1790316299.7218","13.041","8.9914","9.147","0.1556","431066885906.48676","byte/s","True","16","24","0x0000000000000600;0x0000000000000400;0x0000000000000624"
