"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","141.84","26.63","153.61","54.2","56","97.5","110.17","True","1790316317.8881","1790316328.8856","15.236","10.8011","10.9944","0.1933","273519499037.05035","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","149.29","59.33","159.87","57.5","59","97.1","114.76","True","1790316341.1323","1790316351.657","14.662","10.3074","10.5288","0.2214","286620660586.1918","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","149.01","24.59","163.33","55.8","57","98.6","113.76","True","1790316363.8958","1790316373.9914","14.094","9.9304","10.0939","0.1636","297502888128.924","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","8782.1","810","9251","True","0","none","149.48","16.32","165.95","55.2","57","94.5","114.25","True","1790316386.0731","1790316395.8921","14.112","9.6674","9.819","0.1516","305596400392.1089","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","158.05","61.07","169.66","58.2","59","99.4","118.83","True","1790316408.1208","1790316417.7466","13.551","9.4748","9.6263","0.1515","311806064547.55237","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","156.14","29.65","170.53","56.2","57","98.4","118.03","True","1790316429.8559","1790316439.352","13.539","9.3142","9.4954","0.1812","317185216416.90375","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","158.39","32.6","174.03","55.1","56","95.9","119.42","True","1790316451.4355","1790316460.7796","13.531","9.1796","9.3433","0.1637","321834220720.822","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","166.98","32.51","183.6","56.4","59","97.9","124.23","True","1790316472.9397","1790316482.2194","12.989","9.1048","9.2792","0.1744","324478636794.0844","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","184.94","27.47","198.28","57.2","59","96.5","137.69","True","1790316493.9973","1790316503.2091","12.995","9.0685","9.2144","0.1459","325776839190.53406","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","205.84","97.68","217.85","58.6","60","100","153.19","True","1790316515.0945","1790316524.2904","12.975","9.0434","9.1981","0.1547","326682792218.497","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","234.15","87.96","252.81","60.2","62","97.8","176.95","True","1790316536.181","1790316545.4108","13.544","9.0466","9.2239","0.1773","326566127992.6371","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"2010","1938.5","1935","1950","9251","9251","9251","False","-71.5","below","249.99","83.98","270.21","61.8","64","95.8","186.53","True","1790316557.7413","1790316566.9384","13.012","9.0361","9.2031","0.1671","326945900194.0621","FLOP/s","True","17","24","0x0000000000000600;0x0000000000000400"
"2115","1935.9","1935","1950","9251","9251","9251","False","-179.1","below","248.2","69.72","270.44","62.1","64","95.5","185.71","True","1790316578.8051","1790316588.0031","13.015","9.0429","9.1977","0.1548","326701147869.51514","FLOP/s","True","17","24","0x0000000000000600;0x0000000000000400"
