"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","98.18","14.55","103.94","53.2","55","94.6","85.03","True","1790316606.1781","1790316625.7759","23.826","19.2579","19.5953","0.3374","280154828326.2293","FLOP/s","True","36","44","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","104.31","20.69","110","56.9","58","96.4","88.81","True","1790316638.0225","1790316655.4652","21.64","17.1312","17.4418","0.3106","314932450038.0591","FLOP/s","True","32","40","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9259.6","9251","9501","True","0","none","110.87","16.36","116.23","54.7","55","94.2","92.9","True","1790316667.6717","1790316683.3888","20.048","15.4495","15.7181","0.2687","349214865098.78357","FLOP/s","True","29","37","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","116.3","45.27","121.92","55","57","97.8","95.73","True","1790316695.8372","1790316710.1511","18.486","14.0549","14.3127","0.2579","383865975296.89545","FLOP/s","True","26","34","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","119.97","42.33","126.71","57.5","58","97","97.49","True","1790316722.3646","1790316735.5408","17.306","12.9128","13.1759","0.263","417816433801.1516","FLOP/s","True","24","32","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","126.94","62.19","133.1","55.7","56","100","101.81","True","1790316747.6735","1790316759.7913","16.285","11.926","12.1143","0.1882","452387140937.03314","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","127.53","24.28","137.63","55.1","57","95.7","100.62","True","1790316772.055","1790316783.309","15.196","11.075","11.2577","0.1828","487151107287.957","FLOP/s","True","21","28","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","142.86","44.86","153.23","58.9","60","98","111.54","True","1790316795.3715","1790316805.9095","14.663","10.3378","10.5395","0.2017","521890852417.2564","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","156.28","22.71","174.17","57.8","59","95.1","121.14","True","1790316818.1214","1790316828.0052","14.074","9.7","9.8866","0.1867","556207072518.691","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","189.02","71.94","204.04","59.2","61","98.6","143.64","True","1790316840.2457","1790316849.5355","13.55","9.1272","9.2844","0.1572","591111731511.7228","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","228.16","77.06","247.85","61.9","64","96.8","171.26","True","1790316861.7828","1790316870.5448","13.05","8.6069","8.7614","0.1545","626842105792.019","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"2010","1935","1920","1950","9251","9251","9251","False","-75","below","239.29","37.78","266.51","62.8","65","96.6","179.81","True","1790316883.0103","1790316891.6346","13.03","8.4792","8.6236","0.1444","636284708167.1476","FLOP/s","True","16","24","0x0000000000000600;0x0000000000000400"
"2115","1935","1920","1950","9251","9251","9251","False","-180","below","237.93","35.86","267.1","62.8","65","94.9","176.96","True","1790316904.0619","1790316912.7024","13.01","8.4785","8.639","0.1605","636337766324.0149","FLOP/s","True","16","24","0x0000000000000600;0x0000000000000400"
