"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9016.5","810","9251","True","0","none","121.05","15.14","126.81","54.7","57","95.5","103.72","True","1790316931.2125","1790316950.5975","23.362","19.0253","19.385","0.3597","1421599572162.035","FLOP/s","True","36","43","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","128.98","26.56","136.76","58.2","59","97.3","108.57","True","1790316962.4991","1790316979.8065","21.194","16.9582","17.3049","0.3467","1594881677762.7488","FLOP/s","True","32","39","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","136.82","40.13","144.35","56.3","57","97.7","113.36","True","1790316991.8815","1790317007.424","19.544","15.2889","15.5423","0.2534","1769017302643.0845","FLOP/s","True","29","36","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","143.36","41.42","152.29","55.8","57","97.2","117.5","True","1790317019.3771","1790317033.53","18.395","13.9197","14.1521","0.2325","1943031967910.5107","FLOP/s","True","26","34","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","148","26.12","160.98","57.7","59","98.5","119.5","True","1790317045.9934","1790317059.02","17.377","12.7797","13.0306","0.2509","2116357035630.3337","FLOP/s","True","24","32","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","156.43","41.46","167.18","57","58","96.5","124.42","True","1790317071.3809","1790317083.4223","16.226","11.8364","12.0425","0.2061","2285020193804.3296","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","160.71","19.75","176.94","57","59","95.4","125.43","True","1790317095.6178","1790317106.8169","15.147","10.9917","11.1999","0.2082","2460611412627.5684","FLOP/s","True","21","28","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","182.97","58.13","197.37","58.4","60","95.8","141.37","True","1790317118.7794","1790317129.2709","14.669","10.2835","10.4886","0.2051","2630070447433.88","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","202.4","25.27","225.35","59.4","62","95.8","153.91","True","1790317141.548","1790317151.3522","14.073","9.63","9.8026","0.1726","2808563957274.0312","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","250.3","110.58","266.64","62.6","65","100","184.76","True","1790317163.7","1790317172.9437","13.027","9.0706","9.2406","0.1699","2981741456962.977","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1855.3","1845","1905","9251","9251","9251","False","-49.7","below","269.52","92.31","289.8","64.4","67","95.9","200.31","True","1790317184.8336","1790317193.834","13.114","8.8447","9.005","0.1604","3057930045376.0034","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000004"
"2010","1853.4","1830","1920","9251","9251","9251","False","-156.6","below","265.68","67.59","290.33","64.6","67","94.9","198.15","True","1790317205.9371","1790317214.965","13.075","8.8481","9.0227","0.1747","3056751603284.482","FLOP/s","True","16","24","0x0000000000000004;0x0000000000000600;0x0000000000000400"
"2115","1848.8","1830","1935","9251","9251","9251","False","-266.2","below","263.19","42.93","289.55","64.5","67","96.7","196.93","True","1790317227.04","1790317236.0383","13.064","8.8348","9.0014","0.1666","3061341091098.4805","FLOP/s","True","16","24","0x0000000000000004;0x0000000000000600"
