"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","127.3","81.45","131.53","56","58","98.4","104.66","True","1790318859.3021","1790318875.9404","21.197","16.3113","16.6403","0.329","8088948118106.178","FLOP/s","True","31","39","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","136.91","112.93","140.63","57.4","58","100","110.07","True","1790318888.4833","1790318903.2434","19.549","14.5282","14.7549","0.2267","9081726582552.295","FLOP/s","True","27","36","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","146.57","112.04","150.11","56.7","57","96.6","116.03","True","1790318915.9815","1790318929.3342","17.924","13.1051","13.3514","0.2463","10067929214150.64","FLOP/s","True","24","33","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","154.43","117.96","158.48","57.8","59","100","119.54","True","1790318941.9265","1790318954.0579","16.866","11.9474","12.1264","0.1791","11043554966377.42","FLOP/s","True","22","31","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","163.6","125.11","168.01","57.3","58","98.1","123.46","True","1790318966.8697","1790318978.0163","15.707","10.9666","11.1436","0.1769","12031149325907.47","FLOP/s","True","20","29","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","172.65","109.35","180.15","58.4","60","97.7","127.52","True","1790318990.5911","1790319000.8576","14.594","10.1091","10.2733","0.1642","13051727953063.004","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","184.53","90.17","193.13","58.5","60","100","134","True","1790319013.2379","1790319022.7769","14.1","9.3828","9.5429","0.1602","14062101515584.104","FLOP/s","True","17","26","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","204.53","72.3","219.82","60.1","62","100","153.42","True","1790319035.3552","1790319044.2766","13.598","8.7624","8.9208","0.1584","15057637861304.756","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","235.24","62.83","258.73","62.2","65","97.8","170.48","True","1790319056.9256","1790319065.3136","12.5","8.2163","8.3839","0.1676","16058485878373.527","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000000"
"1800","1773","1755","1800","9251","9251","9251","True","-27","none","264.06","57.28","290.71","64.1","67","100","192.11","True","1790319077.4618","1790319085.4508","12.504","7.8662","7.9887","0.1225","16773205865404.736","FLOP/s","True","15","23","0x0000000000000001;0x0000000000000004"
"1905","1779","1740","1905","9251","9251","9251","False","-126","below","258.62","30.76","290.02","64.2","67","94.3","189.45","True","1790319098.1202","1790319106.129","12.51","7.8818","8.0143","0.1325","16739990831943.266","FLOP/s","True","15","23","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2010","1776","1740","1950","9251","9251","9251","False","-234","below","260.45","34.77","289.18","64.5","67","94.1","191.48","True","1790319118.6324","1790319126.6318","12.444","7.8745","8.0016","0.1271","16755556957526.7","FLOP/s","True","15","23","0x0000000000000404;0x0000000000000004;0x0000000000000400"
"2115","1769","1725","1950","9251","9251","9251","False","-346","below","268.5","34.34","289.58","64.7","68","92.5","196.99","True","1790319139.1446","1790319147.1353","12.534","7.8729","7.9909","0.1181","16759017734446.08","FLOP/s","True","15","23","0x0000000000000404;0x0000000000000004;0x0000000000000400"
