"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1200","1200","1200","1200","9251","9251","9251","True","0","none","157.2","101.42","162.55","57.7","59","100","120.39","True","1790310704.1821","1790310715.903","16.288","11.5515","11.7208","0.1693","11422032049005.863","FLOP/s","True","21","30","0x0000000000000001;0x0000000000000000"
"1245","1245","1245","1245","9251","9251","9251","True","0","none","162.08","140.3","166.9","57.5","59","97.8","124.07","True","1790310728.3858","1790310739.7074","15.761","11.1439","11.3239","0.18","11839801457146.879","FLOP/s","True","20","29","0x0000000000000001;0x0000000000000000"
"1290","1290","1290","1290","9251","9251","9251","True","0","none","158.17","24.85","172.35","57.6","59","96","122.88","True","1790310752.2265","1790310763.1397","15.195","10.7565","10.9145","0.1581","12266225345025.521","FLOP/s","True","21","28","0x0000000000000001;0x0000000000000000"
"1335","1335","1335","1335","9251","9251","9251","True","0","none","170.84","127.78","175.79","57.8","59","99.2","127.81","True","1790310775.4817","1790310786.053","15.232","10.395","10.5695","0.1745","12692798978476.682","FLOP/s","True","19","28","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","164.9","23.48","180.36","57.8","60","95.8","127.43","True","1790310798.6918","1790310808.8743","14.639","10.0388","10.1856","0.1468","13143114545427.898","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1410","1410","1410","1410","9251","9251","9251","True","0","none","173.59","63.37","185.47","58.2","60","97.7","133.7","True","1790310821.4118","1790310831.3957","14.633","9.8149","9.9847","0.1698","13442979981583.025","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1455","1455","1455","1455","9251","9251","9251","True","0","none","173.75","25.68","190.82","58.3","60","97","132.77","True","1790310844.1505","1790310853.831","14.168","9.5031","9.6844","0.1813","13884076065829.662","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1500","1500","1500","1500","9251","9251","9251","True","0","none","185.43","84.06","196.04","58.7","60","100","139.03","True","1790310866.2728","1790310875.66","13.543","9.2171","9.3855","0.1684","14314814433254.627","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1545","1545","1545","1545","9251","9251","9251","True","0","none","193.4","70.75","208.04","59.3","61","97.5","145.46","True","1790310887.8571","1790310896.9814","13.546","8.9537","9.1239","0.1702","14735982966955.732","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","203.35","49.55","221.58","59.5","62","97.6","150.24","True","1790310909.5776","1790310918.4336","13.007","8.7015","8.8593","0.1578","15163103905462.848","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
