"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","208.37","94.3","221.07","60.4","62","99.6","153.56","True","1790310955.3156","1790310964.1725","13.04","8.7064","8.8614","0.155","15154468021267.502","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1545","1545","1545","1545","9251","9251","9251","True","0","none","194.77","79.48","206.9","58.7","60","100","146.57","True","1790310976.3887","1790310985.5017","13.545","8.9518","9.1139","0.162","14739047096726.637","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1500","1500","1500","1500","9251","9251","9251","True","0","none","181.28","40.46","196.55","58.2","60","97.9","136.03","True","1790310998.0891","1790311007.4668","13.574","9.2186","9.3732","0.1547","14312582246646.072","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1455","1455","1455","1455","9251","9251","9251","True","0","none","174.12","23.98","192.11","58.2","60","96.7","133.07","True","1790311019.7129","1790311029.3681","14.107","9.5069","9.6584","0.1515","13878508494664.107","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1410","1410","1410","1410","9251","9251","9251","True","0","none","175.63","82.5","186.09","58.3","60","100","133.35","True","1790311041.811","1790311051.8021","14.114","9.8112","9.9934","0.1822","13448056867364.133","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","168.19","49.88","182.09","57.9","60","97.6","129.55","True","1790311064.0281","1790311074.2267","14.664","10.0284","10.1985","0.1701","13156761830780.828","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1335","1335","1335","1335","9251","9251","9251","True","0","none","168.49","77.26","178.46","57.9","59","97.8","125.72","True","1790311086.8312","1790311097.3942","15.179","10.3948","10.5624","0.1676","12693012421744.596","FLOP/s","True","19","28","0x0000000000000001;0x0000000000000000"
"1290","1290","1290","1290","9251","9251","9251","True","0","none","166.34","108.45","174.59","58","59","97.9","124.56","True","1790311110.0998","1790311121.0301","15.197","10.757","10.929","0.1719","12265582217454.34","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1245","1245","1245","1245","9251","9251","9251","True","0","none","163.71","150.93","169.28","57.7","59","99","123.49","True","1790311133.3726","1790311144.6578","15.733","11.1432","11.2838","0.1406","11840554674596.564","FLOP/s","True","20","29","0x0000000000000001;0x0000000000000000"
"1200","1200","1200","1200","9251","9251","9251","True","0","none","153.44","50.74","162.7","57.3","59","99.8","121.64","True","1790311157.1263","1790311168.8282","16.282","11.5553","11.7054","0.1501","11418232094128.053","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
