target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1590,1590.0,15154.468021267501,208.37,9251.0,1790310955.3156,1790310964.1725,0.85,1515.0,18,-420
1545,1545.0,14739.047096726637,194.77,9251.0,1790310976.3887,1790310985.5017,0.831,1470.0,18,-420
1500,1500.0,14312.582246646072,181.28,9251.0,1790310998.0891,1790311007.4668,0.819,1425.0,19,-420
1455,1455.0,13878.508494664107,174.12,9251.0,1790311019.7129,1790311029.3681,0.819,1380.0,19,-420
1410,1410.0,13448.056867364132,175.63,9251.0,1790311041.811,1790311051.8021,0.819,1335.0,20,-420
1380,1380.0,13156.761830780828,168.19,9251.0,1790311064.0281,1790311074.2267,0.819,1335.0,20,-420
1335,1335.0,12693.012421744595,168.49,9251.0,1790311086.8312,1790311097.3942,0.819,1335.0,21,-420
1290,1290.0,12265.58221745434,166.34,9251.0,1790311110.0998,1790311121.0301,0.819,1335.0,22,-420
1245,1245.0,11840.554674596564,163.71,9251.0,1790311133.3726,1790311144.6578,0.819,1335.0,22,-420
1200,1200.0,11418.232094128052,153.44,9251.0,1790311157.1263,1790311168.8282,0.819,1335.0,23,-420
