"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","131.81","45.99","141.21","52.1","53","97.4","97.9","True","1790350455.3064","1790350464.6576","13.072","9.1954","9.3469","0.1516","534921169488.5709","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","131.38","31.64","142.92","54.2","56","97.9","97.76","True","1790350476.4345","1790350485.785","13.034","9.1935","9.3499","0.1563","535027926351.1779","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","8782.1","810","9251","True","0","none","127.78","16.47","143.35","55.7","57","92.9","99.87","True","1790350497.5166","1790350506.8621","13.018","9.1962","9.352","0.1558","534872483237.87195","byte/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","136.31","59.54","145.96","57.7","59","100","103.13","True","1790350518.6922","1790350528.0366","13.538","9.1942","9.3463","0.1521","534990398332.0726","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","136.3","52.26","145.75","54.9","55","98.1","103.55","True","1790350540.254","1790350549.6173","13.518","9.1913","9.363","0.1717","535158131025.6232","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","134.63","44.29","145.03","53.4","55","94.8","102.6","True","1790350561.8164","1790350571.1628","13.546","9.1876","9.3474","0.1597","535370921012.695","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","136.2","47.47","146.07","55.9","57","94.9","102.3","True","1790350583.3913","1790350592.7497","13.021","9.186","9.3588","0.1727","535464391912.5822","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","142.41","27.21","155.76","58.2","59","97.8","108.61","True","1790350604.5776","1790350613.9055","13.55","9.1727","9.3279","0.1552","536245773949.2046","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","156.58","73.76","165.89","56.7","57","100","119.8","True","1790350626.2232","1790350635.5362","13.599","9.1593","9.3095","0.1502","537029697781.7988","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1815","1815","1815","1815","9251","9251","9251","True","0","none","164.78","61.86","177.7","55.5","57","96.1","126.2","True","1790350647.8454","1790350657.1644","13.523","9.152","9.327","0.175","537457708995.49176","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1920","1920","1920","1920","9251","9251","9251","True","0","none","186.18","58.07","202.48","57.4","59","94.8","142.92","True","1790350669.4254","1790350678.7278","13.532","9.1439","9.3056","0.1617","537931974396.45306","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"2025","1950","1950","1950","9251","9251","9251","False","-75","below","193.89","48.47","211.37","57.8","59","98.9","146.74","True","1790350690.9876","1790350700.2893","13.011","9.142","9.3037","0.1617","538042773263.6427","byte/s","True","17","24","0x0000000000000600;0x0000000000000400"
"2130","1937.5","1935","1950","8782.1","810","9251","False","-192.5","below","184.5","32.45","210.96","56.9","59","90.2","146.53","True","1790350711.9602","1790350721.2587","12.994","9.1383","9.2963","0.158","538263724581.48096","byte/s","True","18","24","0x0000000000000400"
