"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","129.06","24.13","139.15","53.5","55","99.3","101.67","True","1790351021.026","1790351033.0394","15.755","11.7947","12.0148","0.2201","328612231962.0828","byte/s","True","22","29","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","136.79","56.19","144.95","56.5","58","99.7","106.61","True","1790351044.8453","1790351056.2662","15.173","11.1921","11.4169","0.2247","346304290943.9204","byte/s","True","21","28","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9263.5","9251","9501","True","0","none","137.15","18.14","149.19","55.5","57","96","107.23","True","1790351068.1978","1790351079.0607","15.137","10.6869","10.8666","0.1797","362675367741.7581","byte/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","144.02","59.97","152.99","56.8","58","100","111.31","True","1790351091.3184","1790351101.8134","14.658","10.2921","10.4906","0.1985","376589026458.89233","byte/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","144.46","37.94","156.19","55.3","56","97.2","110.91","True","1790351114.0018","1790351124.1621","14.097","10.0071","10.1608","0.1537","387312788660.90015","byte/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","149.71","69.61","158.06","55.6","57","100","114.76","True","1790351136.2532","1790351146.1951","14.048","9.7805","9.9448","0.1643","396287533432.94165","byte/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","149.51","54.08","160.69","57.9","59","96.6","113.4","True","1790351158.3842","1790351168.135","13.516","9.5917","9.7515","0.1598","404085985644.3096","byte/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","159.32","53.52","172.13","56.6","57","95.2","121.36","True","1790351179.9272","1790351189.4751","13.566","9.3859","9.5465","0.1606","412947012436.3932","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","169.34","32.79","187.18","56","57","98.5","128.84","True","1790351201.5704","1790351210.9616","13.589","9.2359","9.3889","0.153","419654160299.98413","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1815","1815","1815","1815","8754.5","810","9251","True","0","none","190.94","26.61","207.84","57.9","60","94.2","145","True","1790351223.2556","1790351232.5079","13.553","9.105","9.2559","0.1509","425686982968.74945","byte/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1920","1920","1920","1920","9251","9251","9251","True","0","none","225.21","99.03","240.72","59.8","61","100","169.05","True","1790351244.7459","1790351253.8939","12.976","8.983","9.1435","0.1605","431468426065.4224","byte/s","True","16","24","0x0000000000000001;0x0000000000000000"
"2025","1935.9","1935","1950","9251","9251","9251","False","-89.1","below","231.26","74.1","251.01","60.4","62","95.9","174","True","1790351265.8975","1790351275.0252","13.03","8.9638","9.1321","0.1683","432394706853.1216","byte/s","True","16","24","0x0000000000000600;0x0000000000000400"
"2130","1936.9","1935","1950","9251","9251","9251","False","-193.1","below","231.6","80.97","250.3","59.9","62","94.9","174.46","True","1790351286.9506","1790351296.0895","13.004","8.9656","9.1358","0.1703","432307346063.6756","byte/s","True","16","24","0x0000000000000600;0x0000000000000400"
