target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,328.61223196208283,129.06,9251.0,1790351021.026,1790351033.0394,0.819,1335.0,24,-420
960,960.0,346.3042909439204,136.79,9251.0,1790351044.8453,1790351056.2662,0.819,1335.0,22,-420
1065,1065.0,362.6753677417581,137.15,9263.5,1790351068.1978,1790351079.0607,0.819,1335.0,22,-420
1170,1170.0,376.5890264588923,144.02,9251.0,1790351091.3184,1790351101.8134,0.819,1335.0,21,-420
1275,1275.0,387.31278866090014,144.46,9251.0,1790351114.0018,1790351124.1621,0.819,1335.0,20,-420
1380,1380.0,396.28753343294164,149.71,9251.0,1790351136.2532,1790351146.1951,0.819,1335.0,20,-420
1485,1485.0,404.0859856443096,149.51,9251.0,1790351158.3842,1790351168.135,0.812,1410.0,20,-420
1605,1605.0,412.9470124363932,159.32,9251.0,1790351179.9272,1790351189.4751,0.856,1530.0,19,-420
1710,1710.0,419.65416029998414,169.34,9251.0,1790351201.5704,1790351210.9616,0.9,1620.0,18,-420
1815,1815.0,425.6869829687495,190.94,8754.5,1790351223.2556,1790351232.5079,0.963,1710.0,18,-420
1920,1920.0,431.4684260654224,225.21,9251.0,1790351244.7459,1790351253.8939,1.05,1815.0,18,-420
2025,1935.9,432.3947068531216,231.26,9251.0,1790351265.8975,1790351275.0252,1.081,1845.0,18,-420
2130,1936.9,432.3073460636756,231.6,9251.0,1790351286.9506,1790351296.0895,1.081,1845.0,18,-420
