target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,1423.0070006933247,124.0,9251.0,1790351922.3793,1790351941.7672,0.819,1335.0,38,-420
960,960.0,1599.3661299318412,130.44,9251.0,1790351953.6818,1790351970.9405,0.812,1335.0,35,-420
1065,1065.0,1772.079511528044,140.79,9251.0,1790351982.8975,1790351998.4319,0.819,1335.0,31,-420
1170,1170.0,1945.5071003877326,144.82,9251.0,1790352010.5511,1790352024.7084,0.819,1335.0,28,-420
1275,1275.0,2118.6090702748215,152.93,9251.0,1790352036.6004,1790352049.6033,0.819,1335.0,26,-420
1380,1380.0,2291.8097909967764,158.53,9251.0,1790352062.0169,1790352074.0242,0.812,1335.0,24,-420
1485,1485.0,2466.237170220414,167.12,9251.0,1790352086.2878,1790352097.4601,0.819,1410.0,22,-420
1605,1605.0,2662.8238655818063,187.13,9251.0,1790352109.605,1790352119.9622,0.856,1530.0,20,-420
1710,1710.0,2837.635700397124,210.96,9251.0,1790352132.1943,1790352141.8767,0.906,1620.0,19,-420
1815,1815.0,3012.1116972609643,253.9,9251.0,1790352153.8803,1790352163.0151,0.963,1725.0,18,-420
1920,1855.3,3068.3097341722414,270.4,9251.0,1790352175.0594,1790352184.0183,0.994,1755.0,18,-420
2025,1855.3,3067.286798694209,268.52,9251.0,1790352196.1064,1790352205.0742,0.994,1755.0,18,-420
2130,1853.4,3064.593415282285,266.38,9251.0,1790352217.1563,1790352226.153,0.994,1755.0,18,-420
