"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","137.7","53.81","143.5","55.9","58","98.7","115.99","True","1790353523.2994","1790353540.3412","21.213","16.7642","17.0422","0.278","8840388596135.363","FLOP/s","True","31","39","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","144.77","45.34","152.15","56.3","57","98.9","119.99","True","1790353552.4906","1790353567.9088","19.596","15.1612","15.4208","0.2596","9775101675627.857","FLOP/s","True","28","36","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","153.34","20.67","161.98","57.3","59","97.1","125.02","True","1790353580.2074","1790353594.3014","18.438","13.8784","14.093","0.2146","10678594367657.342","FLOP/s","True","26","34","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","161.75","76.02","169.41","56.8","58","98.4","130","True","1790353606.7197","1790353619.8235","17.422","12.8577","13.1027","0.2449","11526315825507.48","FLOP/s","True","24","32","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","166.86","21.08","178.36","57.3","59","96","132.15","True","1790353632.1924","1790353644.3968","16.289","11.9918","12.2003","0.2085","12358633412709.412","FLOP/s","True","23","30","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","170.73","30.64","185.89","57.3","59","95.4","134.7","True","1790353656.5285","1790353667.9928","15.694","11.2572","11.4602","0.203","13165141181594.78","FLOP/s","True","21","29","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","183.7","75.47","195.55","58.4","60","98.2","143.16","True","1790353680.2253","1790353691.0371","15.195","10.6144","10.8154","0.201","13962351498072.447","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","201.55","29.3","222.54","59.1","61","95.4","153.24","True","1790353703.5466","1790353713.6809","14.165","9.985","10.138","0.153","14842548476404.273","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","235.26","75.58","254.6","61.3","63","97.9","179.03","True","1790353725.7899","1790353735.4776","14.146","9.5121","9.6885","0.1764","15580411731108.896","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1815","1800","1755","1815","9251","9251","9251","True","-15","none","266.04","55.56","289.15","63.8","66","99.1","199.78","True","1790353747.9065","1790353757.2076","13.574","9.1437","9.2971","0.1534","16208176729359.998","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1920","1803.5","1770","1920","9251","9251","9251","False","-116.5","below","266","48.75","289.95","63.8","66","97.4","200.41","True","1790353769.552","1790353778.8396","13.527","9.1466","9.2842","0.1376","16202940174060.424","FLOP/s","True","17","25","0x0000000000000004;0x0000000000000400"
"2025","1811.5","1785","1950","9251","9251","9251","False","-213.5","below","271.15","41.26","289.47","64.1","67","96","205.11","True","1790353791.1188","1790353800.4299","13.544","9.1476","9.3152","0.1677","16201287032159.2","FLOP/s","True","17","25","0x0000000000000004;0x0000000000000400"
"2130","1807.1","1785","1845","9251","9251","9251","False","-322.9","below","272.64","110.19","290.44","64.6","67","95.4","206.35","True","1790353812.7955","1790353822.1143","13.603","9.1529","9.3206","0.1677","16191803355121.621","FLOP/s","True","17","25","0x0000000000000004;0x0000000000000400"
