target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,8107.520595387203,128.11,9251.0,1790353841.179,1790353857.7847,0.812,1335.0,33,-420
960,960.0,9093.206951627006,137.92,9251.0,1790353870.2478,1790353885.0064,0.812,1335.0,29,-420
1065,1065.0,10079.556865153703,146.1,9251.0,1790353897.8103,1790353911.1326,0.812,1335.0,26,-420
1170,1170.0,11067.565205205272,155.05,9251.0,1790353923.741,1790353935.8199,0.812,1335.0,25,-420
1275,1275.0,12057.324903518447,160.93,9251.0,1790353948.5288,1790353959.6338,0.812,1335.0,22,-420
1380,1380.0,13061.08818711087,164.79,9251.0,1790353972.2641,1790353982.5306,0.812,1335.0,21,-420
1485,1485.0,14081.375158102244,183.37,9251.0,1790353995.0076,1790354004.5337,0.812,1410.0,19,-420
1605,1605.0,15208.130333695128,207.33,9251.0,1790354017.1875,1790354026.0382,0.856,1530.0,18,-420
1710,1710.0,16228.885446804681,241.07,9251.0,1790354038.1474,1790354046.4164,0.906,1620.0,16,-420
1815,1766.0,16796.634502947036,259.28,9251.0,1790354058.7935,1790354066.7758,0.938,1665.0,16,-420
1920,1767.0,16766.20712186747,263.03,9251.0,1790354079.2446,1790354087.2432,0.938,1680.0,16,-420
2025,1777.0,16774.435874082483,267.79,9251.0,1790354099.843,1790354107.8772,0.9345,1680.0,16,-420
2130,1777.0,16778.8031367724,275.99,9251.0,1790354120.3602,1790354128.333,0.938,1680.0,16,-420
