target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,564.7318572164108,132.92,9251.0,1790354513.5449,1790354522.842,0.819,1335.0,18,-420
960,960.0,566.3827423665108,139.86,9251.0,1790354535.1341,1790354544.3994,0.812,1335.0,19,-420
1065,1065.0,566.6431717141293,140.6,9251.0,1790354556.1969,1790354565.4339,0.812,1335.0,19,-420
1170,1170.0,566.6201320391216,140.66,9251.0,1790354577.2451,1790354586.4955,0.812,1335.0,19,-420
1275,1275.0,567.6360913373994,139.28,9251.0,1790354598.3716,1790354607.6189,0.819,1335.0,19,-420
1380,1380.0,567.628538646436,138.75,9251.0,1790354619.4312,1790354628.6538,0.819,1335.0,19,-420
1485,1485.0,568.1767649871474,138.13,9251.0,1790354640.5194,1790354649.7268,0.812,1410.0,19,-420
1605,1515.0,568.5631798273728,140.28,9251.0,1790354661.6493,1790354670.8577,0.819,1440.0,19,-420
1710,1515.0,568.2289375974447,147.14,9251.0,1790354682.6069,1790354691.8335,0.819,1440.0,19,-420
1815,1485.0,567.9117362014316,144.56,9251.0,1790354703.7127,1790354712.9463,0.819,1410.0,18,-420
1920,1485.0,568.5489543534646,142.45,9251.0,1790354724.7995,1790354734.0296,0.819,1410.0,18,-420
2025,1508.8,568.120790875065,141.71,9251.0,1790354745.9072,1790354755.1382,0.819,1440.0,18,-420
2130,1515.0,568.1203395646997,140.58,9251.0,1790354767.0867,1790354776.3165,0.819,1440.0,19,-420
