target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,330.5745824632271,130.4,9251.0,1790354794.42,1790354806.3552,0.819,1335.0,24,-420
960,960.0,348.30841265880497,136.75,9251.0,1790354818.2101,1790354829.5379,0.812,1335.0,23,-420
1065,1065.0,365.07101849330314,138.79,9251.0,1790354841.4019,1790354852.2455,0.819,1335.0,21,-420
1170,1170.0,378.90975714015667,144.62,9251.0,1790354864.2176,1790354874.6381,0.819,1335.0,21,-420
1275,1275.0,389.70574173902463,144.6,9251.0,1790354886.4069,1790354896.5298,0.819,1335.0,21,-420
1380,1380.0,398.54486848528086,146.21,9251.0,1790354908.5633,1790354918.4276,0.819,1335.0,20,-420
1485,1485.0,406.95789392956374,151.18,9251.0,1790354930.1225,1790354939.809,0.819,1410.0,19,-420
1605,1509.7,407.8179989846432,152.06,9251.0,1790354951.7398,1790354961.3976,0.819,1440.0,19,-420
1710,1509.7,408.284018009031,149.2,9251.0,1790354973.3967,1790354983.0282,0.819,1440.0,20,-420
1815,1513.3,408.27373924353026,148.69,9251.0,1790354995.0297,1790355004.6888,0.819,1440.0,19,-420
1920,1512.4,408.4588276217454,147.74,9251.0,1790355016.5368,1790355026.1837,0.819,1440.0,20,-420
2025,1509.7,407.896806181996,146.51,9251.0,1790355038.0881,1790355047.7536,0.819,1440.0,20,-420
2130,1508.3,408.1722395071829,145.44,8782.1,1790355059.6158,1790355069.2832,0.819,1440.0,20,-420
