"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","146.37","34.97","159.01","57.2","59","97.8","113.32","True","1790355087.4541","1790355098.3494","15.176","10.6893","10.8985","0.2092","276380159158.75604","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","149.49","26.05","162.15","55.6","57","95.7","113.75","True","1790355110.6243","1790355121.031","14.131","10.191","10.4027","0.2117","289895084549.72266","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","156.07","67.81","165.36","55.4","57","100","118.81","True","1790355132.8004","1790355142.765","14.028","9.8116","9.9616","0.15","301104861984.8724","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","157.3","47.63","171.1","58.1","59","97.1","117.9","True","1790355154.954","1790355164.6787","13.519","9.5382","9.7236","0.1854","309734836239.4234","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","158.07","39.5","172.05","56.4","57","95.7","119.46","True","1790355176.5215","1790355186.0511","13.607","9.3568","9.524","0.1672","315739486273.1539","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","8754.5","810","9251","True","0","none","161.01","19.77","173.36","54.9","56","94.2","121.91","True","1790355198.23","1790355207.591","13.568","9.1931","9.3559","0.1628","321363277349.36346","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","165.62","74.46","176.06","56.1","58","100","123.31","True","1790355219.7686","1790355228.9876","13.008","9.0546","9.2205","0.1658","326275921680.3457","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1605","1514.1","1500","1515","9251","9251","9251","False","-90.9","below","165.78","60.03","178.13","58.8","60","95.7","123.48","True","1790355240.8693","1790355250.0566","12.999","9.0276","9.1855","0.1579","327253470569.74976","FLOP/s","True","17","24","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"1710","1513.2","1485","1515","9251","9251","9251","False","-196.8","below","164.36","53.74","177.38","56.6","58","95.8","122.73","True","1790355261.9146","1790355271.1054","12.998","9.0193","9.1927","0.1734","327554073334.13055","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1815","1510.6","1485","1515","9251","9251","9251","False","-304.4","below","161.73","33.5","176.97","55.2","56","97.4","120.81","True","1790355283.0425","1790355292.232","13.089","9.0299","9.1856","0.1557","327169231946.6757","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000024;0x0000000000000000"
"1920","1511.5","1485","1515","9251","9251","9251","False","-408.5","below","159.21","20.78","176.28","55.6","58","94.2","118.69","True","1790355304.2106","1790355313.3976","12.987","9.0328","9.1849","0.1522","327065928173.70905","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"2025","1515","1515","1515","9251","9251","9251","False","-510","below","168.87","82.28","178.22","58.8","60","100","125.6","True","1790355325.1858","1790355334.3537","13.012","9.0215","9.172","0.1505","327473879665.93506","FLOP/s","True","17","24","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"2130","1514.1","1500","1515","9251","9251","9251","False","-615.9","below","169.29","93.42","177.6","56.9","58","100","126.48","True","1790355346.2009","1790355355.378","13.006","9.0214","9.1756","0.1542","327477625786.0859","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000024;0x0000000000000000"
