target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,276.38015915875604,146.37,9251.0,1790355087.4541,1790355098.3494,0.819,1335.0,22,-420
960,960.0,289.89508454972264,149.49,9251.0,1790355110.6243,1790355121.031,0.819,1335.0,21,-420
1065,1065.0,301.1048619848724,156.07,9251.0,1790355132.8004,1790355142.765,0.819,1335.0,20,-420
1170,1170.0,309.7348362394234,157.3,9251.0,1790355154.954,1790355164.6787,0.819,1335.0,19,-420
1275,1275.0,315.7394862731539,158.07,9251.0,1790355176.5215,1790355186.0511,0.819,1335.0,19,-420
1380,1380.0,321.36327734936344,161.01,8754.5,1790355198.23,1790355207.591,0.819,1335.0,19,-420
1485,1485.0,326.2759216803457,165.62,9251.0,1790355219.7686,1790355228.9876,0.819,1410.0,18,-420
1605,1514.1,327.25347056974977,165.78,9251.0,1790355240.8693,1790355250.0566,0.819,1440.0,18,-420
1710,1513.2,327.5540733341306,164.36,9251.0,1790355261.9146,1790355271.1054,0.819,1440.0,18,-420
1815,1510.6,327.1692319466757,161.73,9251.0,1790355283.0425,1790355292.232,0.819,1440.0,18,-420
1920,1511.5,327.06592817370904,159.21,9251.0,1790355304.2106,1790355313.3976,0.819,1440.0,19,-420
2025,1515.0,327.47387966593504,168.87,9251.0,1790355325.1858,1790355334.3537,0.819,1440.0,19,-420
2130,1514.1,327.47762578608587,169.29,9251.0,1790355346.2009,1790355355.378,0.819,1440.0,19,-420
