"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","155.04","41.34","165.46","56.7","59","98.7","126.58","True","1790356036.6212","1790356051.5125","19.026","14.6188","14.8931","0.2743","6147826562987.242","FLOP/s","True","27","35","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","165.23","20.85","178.12","56.7","58","98","132.99","True","1790356063.7889","1790356077.0522","17.314","13.0275","13.267","0.2395","6898775654493.618","FLOP/s","True","24","32","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","177.31","43.97","190.05","57.9","60","96.4","138.45","True","1790356089.1061","1790356101.0595","15.723","11.7524","11.9529","0.2005","7647277410031.424","FLOP/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","190.93","77.13","202.62","58","59","98.8","147.83","True","1790356112.9184","1790356123.8362","15.195","10.7169","10.9208","0.2039","8386211227676.527","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","196.28","28.84","215.73","58.4","60","98","149.19","True","1790356136.2021","1790356146.2293","14.105","9.8707","10.0298","0.159","9105120694676.658","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","210.98","21.39","228.67","58.7","61","95.2","155.03","True","1790356158.2985","1790356167.6189","12.996","9.1698","9.3161","0.1462","9801040528395.611","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","218.66","78.9","235.54","59.4","61","98.4","161.51","True","1790356179.4444","1790356188.4241","13.024","8.8195","8.9829","0.1634","10190338672369.695","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1605","1514.1","1500","1515","9251","9251","9251","False","-90.9","below","215.24","58.03","233.38","58.9","61","95.5","161.42","True","1790356200.5482","1790356209.8591","13.565","9.1659","9.3068","0.1409","9805205940822.752","FLOP/s","True","17","25","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"1710","1513.2","1485","1515","9251","9251","9251","False","-196.8","below","212.07","37.11","233.92","58.9","61","95.9","159.5","True","1790356222.1453","1790356231.4793","13.523","9.1676","9.3312","0.1636","9803475295651.31","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1815","1513.2","1485","1515","9251","9251","9251","False","-301.8","below","212.65","35.05","233.73","58.6","61","96.1","158.62","True","1790356243.7527","1790356253.0689","13.528","9.164","9.3169","0.153","9807341826421.264","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1920","1513.2","1485","1515","9265.7","9251","9501","False","-406.8","below","216.28","22.74","233.66","58.8","61","94.7","161.93","True","1790356265.3873","1790356274.6848","13.586","9.1571","9.2944","0.1374","9814725400517.867","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"2025","1514.1","1500","1515","9251","9251","9251","False","-510.9","below","218.88","88.74","233.95","59","61","100","164.2","True","1790356286.9567","1790356296.2829","13.598","9.1682","9.3228","0.1546","9802769137803.488","FLOP/s","True","17","25","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"2130","1513.2","1485","1515","9251","9251","9251","False","-616.8","below","215.16","59.15","234.24","59.3","61","94.8","161.37","True","1790356308.6094","1790356317.924","13.578","9.1583","9.3144","0.1561","9813387093172.607","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
