target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,6147.826562987242,155.04,9251.0,1790356036.6212,1790356051.5125,0.812,1335.0,30,-420
960,960.0,6898.775654493618,165.23,9251.0,1790356063.7889,1790356077.0522,0.812,1335.0,26,-420
1065,1065.0,7647.277410031424,177.31,9251.0,1790356089.1061,1790356101.0595,0.812,1335.0,24,-420
1170,1170.0,8386.211227676527,190.93,9251.0,1790356112.9184,1790356123.8362,0.812,1335.0,21,-420
1275,1275.0,9105.120694676658,196.28,9251.0,1790356136.2021,1790356146.2293,0.812,1335.0,20,-420
1380,1380.0,9801.040528395612,210.98,9251.0,1790356158.2985,1790356167.6189,0.812,1335.0,19,-420
1485,1485.0,10190.338672369695,218.66,9251.0,1790356179.4444,1790356188.4241,0.812,1410.0,18,-420
1605,1514.1,9805.205940822752,215.24,9251.0,1790356200.5482,1790356209.8591,0.819,1440.0,19,-420
1710,1513.2,9803.475295651311,212.07,9251.0,1790356222.1453,1790356231.4793,0.819,1440.0,18,-420
1815,1513.2,9807.341826421263,212.65,9251.0,1790356243.7527,1790356253.0689,0.819,1440.0,18,-420
1920,1513.2,9814.725400517867,216.28,9265.7,1790356265.3873,1790356274.6848,0.819,1440.0,19,-420
2025,1514.1,9802.769137803489,218.88,9251.0,1790356286.9567,1790356296.2829,0.819,1440.0,19,-420
2130,1513.2,9813.387093172607,215.16,9251.0,1790356308.6094,1790356317.924,0.819,1440.0,19,-420
