"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","114.07","97.98","115.89","54.1","56","100","97.76","True","1790356993.2194","1790357013.4794","24.972","19.9125","20.2622","0.3497","2766250442367.79","FLOP/s","True","37","46","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","121.68","100.07","124.11","57.6","58","99.2","102.3","True","1790357026.1804","1790357044.2136","22.799","17.808","18.0341","0.2261","3093158004066.3213","FLOP/s","True","33","42","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","125.56","74.04","128.55","55.2","56","97.6","102.84","True","1790357056.9041","1790357073.2576","20.591","16.1229","16.3493","0.2264","3416439782261.724","FLOP/s","True","30","38","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","131.76","104.54","134.64","55.6","57","97.4","107.27","True","1790357085.5808","1790357100.5571","19.566","14.7329","14.9796","0.2467","3738760103435.508","FLOP/s","True","27","36","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","136.94","87.87","140.74","58.7","59","97.4","109.41","True","1790357113.2223","1790357127.0068","18.524","13.5643","13.7854","0.2211","4060888051245.469","FLOP/s","True","25","34","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","143.78","98.37","147.73","56.7","57","98.3","113.4","True","1790357139.729","1790357152.5269","17.382","12.5791","12.7985","0.2194","4378940174560.773","FLOP/s","True","23","32","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","145.19","51.96","153.28","55.9","57","100","116.45","True","1790357165.1132","1790357177.0244","16.309","11.7118","11.9104","0.1986","4703209592524.349","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1605","1513.6","1485","1515","9251","9251","9251","False","-91.4","below","147.36","59.94","157.42","57.4","59","100","117.31","True","1790357189.527","1790357201.2362","16.278","11.4951","11.7097","0.2147","4791883983746.916","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1710","1513.6","1485","1515","9251","9251","9251","False","-196.4","below","149.69","74.1","155.13","56.2","57","99.5","115.54","True","1790357213.9407","1790357225.6302","16.267","11.4916","11.6886","0.1971","4793334195338.052","FLOP/s","True","21","30","0x0000000000000001;0x0000000000000000"
"1815","1514.3","1500","1515","9251","9251","9251","False","-300.7","below","149.98","94.07","156.96","56.5","58","99.4","115.92","True","1790357238.2333","1790357249.923","16.235","11.4915","11.6896","0.1981","4793346834036.277","FLOP/s","True","21","30","0x0000000000000001;0x0000000000000024;0x0000000000000000"
"1920","1515","1515","1515","9251","9251","9251","False","-405","below","151.65","117.48","155.12","56.2","57","97.2","118.13","True","1790357262.5392","1790357274.2248","16.282","11.493","11.6847","0.1916","4792725656788.059","FLOP/s","True","21","30","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"2025","1514.3","1500","1515","9251","9251","9251","False","-510.7","below","149.26","72.01","155.64","57","59","99.7","114.97","True","1790357286.8921","1790357298.5681","16.275","11.4947","11.676","0.1813","4792037895221.531","FLOP/s","True","21","30","0x0000000000000001;0x0000000000000024;0x0000000000000000"
"2130","1513.6","1485","1515","9251","9251","9251","False","-616.4","below","145.97","41.35","155.18","56.1","57","96.7","117.08","True","1790357311.1554","1790357322.8331","16.285","11.4916","11.6793","0.1877","4793325394179.315","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
