target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,2766.25044236779,114.07,9251.0,1790356993.2194,1790357013.4794,0.819,1335.0,41,-420
960,960.0,3093.158004066321,121.68,9251.0,1790357026.1804,1790357044.2136,0.819,1335.0,36,-420
1065,1065.0,3416.4397822617243,125.56,9251.0,1790357056.9041,1790357073.2576,0.819,1335.0,32,-420
1170,1170.0,3738.760103435508,131.76,9251.0,1790357085.5808,1790357100.5571,0.819,1335.0,30,-420
1275,1275.0,4060.8880512454693,136.94,9251.0,1790357113.2223,1790357127.0068,0.812,1335.0,28,-420
1380,1380.0,4378.940174560773,143.78,9251.0,1790357139.729,1790357152.5269,0.819,1335.0,26,-420
1485,1485.0,4703.209592524348,145.19,9251.0,1790357165.1132,1790357177.0244,0.819,1410.0,24,-420
1605,1513.6,4791.883983746916,147.36,9251.0,1790357189.527,1790357201.2362,0.819,1440.0,23,-420
1710,1513.6,4793.334195338051,149.69,9251.0,1790357213.9407,1790357225.6302,0.819,1440.0,23,-420
1815,1514.3,4793.346834036277,149.98,9251.0,1790357238.2333,1790357249.923,0.819,1440.0,23,-420
1920,1515.0,4792.725656788059,151.65,9251.0,1790357262.5392,1790357274.2248,0.819,1440.0,23,-420
2025,1514.3,4792.0378952215315,149.26,9251.0,1790357286.8921,1790357298.5681,0.819,1440.0,24,-420
2130,1513.6,4793.3253941793155,145.97,9251.0,1790357311.1554,1790357322.8331,0.819,1440.0,23,-420
