"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","137.52","36.18","147.03","56.3","58","98","115.62","True","1790357341.4325","1790357358.3813","21.266","16.6514","16.9471","0.2957","8900288097073.113","FLOP/s","True","31","39","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","146.66","20.01","153.95","56.2","57","95.5","121.51","True","1790357370.7336","1790357386.0594","19.543","15.0656","15.3298","0.2642","9837099816088.646","FLOP/s","True","28","36","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","154.45","50.04","163.3","57.3","59","98.9","126.13","True","1790357398.3839","1790357412.4138","18.496","13.7955","14.0232","0.2277","10742766896349.535","FLOP/s","True","26","34","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","161.29","41.74","171.25","56.8","58","98.4","129.95","True","1790357424.9499","1790357437.9803","17.351","12.7747","13.0294","0.2547","11601256085961.46","FLOP/s","True","24","32","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","168.71","68.1","177.91","57.6","59","98.4","133.81","True","1790357450.2492","1790357462.3592","16.236","11.9133","12.1061","0.1928","12440041065954.518","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","170.87","26.56","186.31","57.4","59","95.1","134.68","True","1790357474.5575","1790357485.939","15.733","11.1948","11.3785","0.1837","13238499422220.295","FLOP/s","True","21","29","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","182.69","54.85","196.28","58.4","60","98.2","142.67","True","1790357498.3427","1790357509.1263","15.165","10.5578","10.7793","0.2214","14037171856108.895","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1605","1512.8","1485","1515","9251","9251","9251","False","-92.2","below","181.36","27.17","199.35","57.7","60","95","139.88","True","1790357521.5695","1790357532.1855","14.696","10.4014","10.6121","0.2107","14248237192214.246","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000024;0x0000000000000000"
"1710","1513.5","1485","1515","9251","9251","9251","False","-196.5","below","186.39","60.73","200.99","58.4","60","98.4","143.48","True","1790357544.2911","1790357554.8842","14.61","10.3984","10.5941","0.1957","14252348974907.37","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1815","1513.5","1485","1515","9251","9251","9251","False","-301.5","below","182.69","30.14","198.89","58","60","93.2","140.73","True","1790357566.9951","1790357577.5973","14.638","10.399","10.601","0.202","14251575573599.795","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1920","1514.2","1500","1515","9251","9251","9251","False","-405.8","below","188.51","81.36","199.65","58.2","60","97.3","145.17","True","1790357589.7846","1790357600.3894","14.607","10.4038","10.6056","0.2018","14244970203558.838","FLOP/s","True","20","27","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"2025","1514.2","1500","1515","9251","9251","9251","False","-510.8","below","186.51","61.52","199.13","58.2","60","98.5","143.67","True","1790357612.375","1790357622.988","14.63","10.396","10.6179","0.2218","14255653082281.287","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"2130","1513.5","1500","1515","9251","9251","9251","False","-616.5","below","180.85","24.88","199.91","57.8","60","94.8","140.85","True","1790357635.1896","1790357645.7803","15.158","10.3996","10.5956","0.196","14250821577886.072","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000024;0x0000000000000000"
