target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,8900.288097073113,137.52,9251.0,1790357341.4325,1790357358.3813,0.819,1335.0,34,-420
960,960.0,9837.099816088647,146.66,9251.0,1790357370.7336,1790357386.0594,0.819,1335.0,31,-420
1065,1065.0,10742.766896349534,154.45,9251.0,1790357398.3839,1790357412.4138,0.819,1335.0,28,-420
1170,1170.0,11601.25608596146,161.29,9251.0,1790357424.9499,1790357437.9803,0.819,1335.0,26,-420
1275,1275.0,12440.041065954518,168.71,9251.0,1790357450.2492,1790357462.3592,0.8155,1335.0,24,-420
1380,1380.0,13238.499422220295,170.87,9251.0,1790357474.5575,1790357485.939,0.819,1335.0,23,-420
1485,1485.0,14037.171856108895,182.69,9251.0,1790357498.3427,1790357509.1263,0.812,1410.0,21,-420
1605,1512.8,14248.237192214247,181.36,9251.0,1790357521.5695,1790357532.1855,0.819,1440.0,21,-420
1710,1513.5,14252.348974907369,186.39,9251.0,1790357544.2911,1790357554.8842,0.819,1440.0,21,-420
1815,1513.5,14251.575573599795,182.69,9251.0,1790357566.9951,1790357577.5973,0.819,1440.0,21,-420
1920,1514.2,14244.970203558838,188.51,9251.0,1790357589.7846,1790357600.3894,0.819,1440.0,21,-420
2025,1514.2,14255.653082281287,186.51,9251.0,1790357612.375,1790357622.988,0.819,1440.0,22,-420
2130,1513.5,14250.821577886072,180.85,9251.0,1790357635.1896,1790357645.7803,0.819,1440.0,21,-420
