"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","130.17","111.2","132.8","55.9","58","97.9","107.68","True","1790357664.7458","1790357681.2496","21.196","16.1821","16.5057","0.3236","8153536358334.413","FLOP/s","True","30","39","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","137.31","82.72","140.89","58.3","59","97.3","109.96","True","1790357693.9831","1790357708.6284","18.996","14.4205","14.6476","0.2271","9149572101024.703","FLOP/s","True","27","35","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","147.16","75.36","152.12","56.8","58","97.9","115.72","True","1790357721.0155","1790357734.267","17.92","13.0158","13.2511","0.2353","10137018194436.412","FLOP/s","True","24","33","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","148.34","22.75","159.91","57","59","93.5","117.68","True","1790357746.8881","1790357758.9129","16.262","11.8527","12.0227","0.17","11131761901850.455","FLOP/s","True","23","30","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","159.74","44.87","170.12","57.5","59","98.7","125.56","True","1790357771.1919","1790357782.2353","15.706","10.8833","11.0419","0.1586","12123276349170.334","FLOP/s","True","21","29","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","167.32","18.49","181.14","57.6","60","92.3","129.45","True","1790357794.9514","1790357805.1525","14.674","10.0384","10.2044","0.166","13143674133586.814","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","181.68","65.08","195.34","58.4","60","98.2","136.72","True","1790357817.6204","1790357827.0878","13.55","9.3116","9.4621","0.1505","14169632737593.72","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1605","1514.2","1500","1515","9251","9251","9251","False","-90.8","below","184.53","44.36","200.23","58.5","60","99.8","138.86","True","1790357839.2435","1790357848.5226","13.533","9.1369","9.2785","0.1416","14440532349987.916","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1710","1513.3","1500","1515","9251","9251","9251","False","-196.7","below","181.83","23.59","200.08","58.2","60","95.9","136.8","True","1790357860.9104","1790357870.1929","13.566","9.1289","9.2875","0.1586","14453162939842.617","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000024;0x0000000000000000"
"1815","1514.2","1500","1515","9251","9251","9251","False","-300.8","below","187.93","75.8","199.4","58.5","60","98.6","141.36","True","1790357882.5656","1790357891.8733","13.57","9.1363","9.3058","0.1694","14441440543229.516","FLOP/s","True","18","25","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"1920","1514.1","1500","1515","9251","9251","9251","False","-405.9","below","186.12","68.92","199.49","58.8","60","98.6","140.34","True","1790357904.0634","1790357913.3441","13.535","9.1296","9.2832","0.1537","14452062202054.201","FLOP/s","True","17","25","0x0000000000000024;0x0000000000000001;0x0000000000000000"
"2025","1513.2","1485","1515","9251","9251","9251","False","-511.8","below","183.2","43.47","201.12","58.6","60","98.8","138.32","True","1790357925.7208","1790357935.0135","13.568","9.1354","9.2918","0.1564","14442882728313.197","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"2130","1512.5","1485","1515","9251","9251","9251","False","-617.5","below","181.59","22.69","200.92","58.4","61","95.4","136.67","True","1790357947.4002","1790357956.6924","13.568","9.1301","9.2923","0.1622","14451271382787.713","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000024;0x0000000000000000"
