target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,8153.536358334413,130.17,9251.0,1790357664.7458,1790357681.2496,0.819,1335.0,33,-420
960,960.0,9149.572101024703,137.31,9251.0,1790357693.9831,1790357708.6284,0.812,1335.0,29,-420
1065,1065.0,10137.018194436412,147.16,9251.0,1790357721.0155,1790357734.267,0.819,1335.0,27,-420
1170,1170.0,11131.761901850456,148.34,9251.0,1790357746.8881,1790357758.9129,0.819,1335.0,24,-420
1275,1275.0,12123.276349170334,159.74,9251.0,1790357771.1919,1790357782.2353,0.819,1335.0,22,-420
1380,1380.0,13143.674133586814,167.32,9251.0,1790357794.9514,1790357805.1525,0.812,1335.0,20,-420
1485,1485.0,14169.63273759372,181.68,9251.0,1790357817.6204,1790357827.0878,0.812,1410.0,19,-420
1605,1514.2,14440.532349987916,184.53,9251.0,1790357839.2435,1790357848.5226,0.819,1440.0,19,-420
1710,1513.3,14453.162939842618,181.83,9251.0,1790357860.9104,1790357870.1929,0.819,1440.0,19,-420
1815,1514.2,14441.440543229515,187.93,9251.0,1790357882.5656,1790357891.8733,0.819,1440.0,18,-420
1920,1514.1,14452.062202054201,186.12,9251.0,1790357904.0634,1790357913.3441,0.819,1440.0,18,-420
2025,1513.2,14442.882728313198,183.2,9251.0,1790357925.7208,1790357935.0135,0.819,1440.0,18,-420
2130,1512.5,14451.271382787712,181.59,9251.0,1790357947.4002,1790357956.6924,0.819,1440.0,19,-420
