"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","142.51","15.4","155.96","54.4","56","95","109.51","True","1790358908.1616","1790358919.0479","14.61","10.6993","10.8797","0.1804","276122341245.70953","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","151.45","56.07","162.18","57.5","59","95.8","116.56","True","1790358930.8757","1790358941.2851","14.641","10.1983","10.4063","0.208","289687342471.9984","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","8806.7","810","9251","True","0","none","145.43","16.84","164.79","55.6","57","90.8","115.94","True","1790358953.4795","1790358963.4573","14.15","9.8151","9.9776","0.1625","300996864055.7075","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","159.62","83.35","167.56","55.7","57","100","119.82","True","1790358975.6761","1790358985.4017","13.537","9.5487","9.7255","0.1768","309394719905.0909","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","160.01","62.19","172.03","58.2","59","98.5","120.56","True","1790358997.3341","1790359006.8359","13.556","9.3563","9.5023","0.146","315755394175.8812","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","159.49","49.45","172.04","56.5","58","96.1","120.51","True","1790359018.9246","1790359028.2882","13.525","9.1972","9.3633","0.1661","321217268223.44794","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","161.47","44.95","175.28","55.4","56","96.6","120.43","True","1790359040.4772","1790359049.7077","12.982","9.0554","9.2266","0.1712","326249518025.6221","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","170.16","26.84","189.96","56.8","59","97.9","126.65","True","1790359061.597","1790359070.7347","12.974","8.9736","9.1387","0.1651","329222435258.4711","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","188.23","27.93","202.32","57.7","59","97.4","140.66","True","1790359082.5961","1790359091.7165","13.076","8.9496","9.1184","0.1688","330105818133.33453","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1815","1815","1815","1815","9251","9251","9251","True","0","none","211.01","92.28","224.86","58.9","60","100","157.3","True","1790359103.7381","1790359112.8099","12.989","8.9256","9.0741","0.1485","330994762848.40826","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1920","1920","1920","1920","9251","9251","9251","True","0","none","244.22","94.71","266.1","61.4","63","98.6","182.3","True","1790359124.7858","1790359133.8629","12.981","8.9233","9.0803","0.1571","331080211475.8034","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"2025","1939.7","1935","1950","9251","9251","9251","False","-85.3","below","252.61","89.59","272.44","62.3","64","95.4","189.07","True","1790359145.8371","1790359154.9264","13.058","8.9205","9.0887","0.1683","331183884001.8578","FLOP/s","True","16","24","0x0000000000000600;0x0000000000000400"
"2130","1937.8","1935","1950","9251","9251","9251","False","-192.2","below","248.42","57.83","273.35","62.1","64","96.2","186.41","True","1790359166.9758","1790359176.0491","12.96","8.9182","9.0696","0.1514","331269396884.465","FLOP/s","True","16","24","0x0000000000000600;0x0000000000000400"
