target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,276.12234124570955,142.51,9251.0,1790358908.1616,1790358919.0479,0.819,1335.0,22,-420
960,960.0,289.6873424719984,151.45,9251.0,1790358930.8757,1790358941.2851,0.812,1335.0,20,-420
1065,1065.0,300.99686405570753,145.43,8806.7,1790358953.4795,1790358963.4573,0.812,1335.0,20,-420
1170,1170.0,309.3947199050909,159.62,9251.0,1790358975.6761,1790358985.4017,0.812,1335.0,19,-420
1275,1275.0,315.75539417588124,160.01,9251.0,1790358997.3341,1790359006.8359,0.812,1335.0,19,-420
1380,1380.0,321.21726822344795,159.49,9251.0,1790359018.9246,1790359028.2882,0.812,1335.0,19,-420
1485,1485.0,326.2495180256221,161.47,9251.0,1790359040.4772,1790359049.7077,0.812,1410.0,19,-420
1605,1605.0,329.22243525847114,170.16,9251.0,1790359061.597,1790359070.7347,0.856,1530.0,18,-420
1710,1710.0,330.10581813333454,188.23,9251.0,1790359082.5961,1790359091.7165,0.9,1620.0,18,-420
1815,1815.0,330.99476284840824,211.01,9251.0,1790359103.7381,1790359112.8099,0.963,1725.0,18,-420
1920,1920.0,331.0802114758034,244.22,9251.0,1790359124.7858,1790359133.8629,1.056,1815.0,18,-420
2025,1939.7,331.1838840018578,252.61,9251.0,1790359145.8371,1790359154.9264,1.075,1830.0,18,-420
2130,1937.8,331.26939688446504,248.42,9251.0,1790359166.9758,1790359176.0491,1.075,1830.0,18,-420
