"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","123.28","37.89","128.88","54.9","57","97.8","105.8","True","1790359515.029","1790359534.2962","23.262","18.8856","19.264","0.3784","1432114039765.268","FLOP/s","True","35","43","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","132.25","53.53","137.36","58.5","59","98.3","111.47","True","1790359546.3874","1790359563.5184","21.202","16.8221","17.1351","0.313","1607783572392.6338","FLOP/s","True","31","39","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","137.61","26.41","145.98","56.6","57","98.8","114.21","True","1790359575.6243","1790359591.0901","19.488","15.1731","15.469","0.2959","1782519511761.6077","FLOP/s","True","28","36","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","142.93","19.94","152.81","55.5","57","95.2","116.23","True","1790359603.2282","1790359617.3006","17.942","13.8186","14.0738","0.2552","1957243258048.5469","FLOP/s","True","26","33","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","149.59","22.03","161.71","56.7","59","98.1","119.75","True","1790359629.2557","1790359642.1901","16.814","12.6878","12.9307","0.2429","2131680149494.5208","FLOP/s","True","24","31","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","158.17","30.24","170.23","56.9","58","98.5","125.92","True","1790359654.1857","1790359666.1181","16.266","11.7362","11.932","0.1958","2304522894337.519","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","167.3","65.21","177.46","57.4","59","96","130.78","True","1790359678.4368","1790359689.5434","15.232","10.9114","11.1069","0.1955","2478725026851.433","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","185.39","27.18","203.17","58.4","60","96.7","141.33","True","1790359701.7306","1790359712.0361","14.143","10.1009","10.3106","0.2096","2677603233775.644","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","217.08","74.19","233.31","60.6","62","96.1","163.03","True","1790359723.9548","1790359733.5928","13.491","9.4865","9.643","0.1565","2851030618858.123","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1815","1815","1815","1815","9251","9251","9251","True","0","none","252.84","91.38","271.68","63.2","65","97.8","187.33","True","1790359745.4244","1790359754.5221","13.032","8.9418","9.0979","0.1562","3024715215601.671","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1920","1853.4","1830","1920","9251","9251","9251","False","-66.6","below","265.23","56.78","289.44","64.4","67","96.6","197.32","True","1790359766.5965","1790359775.5398","13.06","8.7833","8.946","0.1627","3079279848204.3706","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000004"
"2025","1849.7","1785","1950","9251","9251","9251","False","-175.3","below","261.55","37.06","289.26","64.4","67","96.1","195.91","True","1790359787.7147","1790359796.6558","12.988","8.7804","8.9419","0.1615","3080292978585.648","FLOP/s","True","16","24","0x0000000000000004;0x0000000000000400"
"2130","1851.6","1815","1950","9251","9251","9251","False","-278.4","below","261.29","34.75","289.42","64.7","68","93.8","196.23","True","1790359808.7997","1790359817.738","13.027","8.7874","8.9384","0.151","3077836196452.7246","FLOP/s","True","16","24","0x0000000000000004;0x0000000000000400"
