"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","158.14","79.58","165.97","56.8","59","98.7","129.74","True","1790359835.8203","1790359850.7255","18.954","14.6222","14.905","0.2828","6146391420910.372","FLOP/s","True","27","35","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","169.63","74.96","177.58","57.3","58","100","136.05","True","1790359862.8837","1790359876.1616","17.304","13.0362","13.2789","0.2427","6894192925280.539","FLOP/s","True","24","32","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","174.43","19.33","189.98","57.6","60","97.4","136.26","True","1790359888.2934","1790359900.2614","15.733","11.7577","11.9653","0.2076","7643825973549.686","FLOP/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","187.93","48.83","203.28","58.1","60","95.8","143.65","True","1790359912.0755","1790359922.9881","14.683","10.7204","10.9175","0.1972","8383462184410.929","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","203.2","90.83","215.4","58.8","60","100","153.75","True","1790359934.8443","1790359944.884","14.093","9.8661","10.0407","0.1746","9109401251509.87","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","210.37","65.56","227.59","58.9","61","96.3","157.49","True","1790359956.9889","1790359966.3277","13.57","9.1729","9.3326","0.1597","9797802817467.824","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","213.86","44.09","234.7","58.9","61","94.9","158.03","True","1790359978.6116","1790359987.6019","13.008","8.825","8.9958","0.1708","10184029549924.2","FLOP/s","True","16","24","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","226.28","24.11","252.95","60.2","62","95.6","169.16","True","1790359999.7646","1790360009.0496","13.572","9.1349","9.2817","0.1468","9838483086999.754","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9265.7","9251","9501","True","0","none","254.79","22.97","276.77","61.7","64","94.1","187.52","True","1790360021.3592","1790360030.5732","13","9.0575","9.2146","0.1571","9922617391233.717","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1815","1761.2","1740","1770","9251","9251","9251","False","-53.8","below","273.41","111.28","289.81","63.9","66","100","201.18","True","1790360042.3654","1790360051.6077","13.006","9.0856","9.2431","0.1575","9891953012552.658","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1920","1755","1740","1770","9251","9251","9251","False","-165","below","275.01","124.49","289.74","64.1","66","97.7","203.94","True","1790360063.4318","1790360072.6756","13.015","9.0814","9.2415","0.1601","9896483216482.137","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000400"
"2025","1757.6","1725","1860","9251","9251","9251","False","-267.4","below","271.61","93.54","290.82","63.8","66","96.8","201.68","True","1790360084.5481","1790360093.7837","12.986","9.0827","9.2338","0.1512","9895122848123.598","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000400"
"2130","1755.9","1710","1845","9251","9251","9251","False","-374.1","below","269.11","81.38","289.75","63.9","66","95.1","199.88","True","1790360105.6019","1790360114.8355","13.032","9.076","9.2343","0.1583","9902373888019.996","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000400"
