"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","114.38","97.18","116.5","54.6","57","99","97.24","True","1790360777.7272","1790360798.015","24.955","19.9135","20.2858","0.3724","2766118071539.4683","FLOP/s","True","38","46","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","121.78","104.55","123.8","57.8","58","97.8","101.67","True","1790360810.6277","1790360828.6777","22.736","17.8139","18.0519","0.238","3092134463760.7393","FLOP/s","True","33","42","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","126.04","83.62","128.68","55.8","56","99.7","103.51","True","1790360841.3023","1790360857.6761","20.631","16.1304","16.3714","0.2411","3414863150139.5083","FLOP/s","True","30","38","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","132.32","112.25","134.85","55.8","58","99.2","107.99","True","1790360869.9989","1790360884.9933","19.543","14.7395","14.9954","0.2559","3737100077282.792","FLOP/s","True","27","36","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","137.8","102.89","142.49","58","59","96.9","110.56","True","1790360897.5773","1790360911.3991","18.437","13.5755","13.82","0.2445","4057524505357.338","FLOP/s","True","25","34","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","143.7","100.1","147.07","56.6","57","99.2","113.37","True","1790360924.0975","1790360936.881","17.43","12.5804","12.7793","0.1989","4378485376784.2153","FLOP/s","True","23","32","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","145","52.22","153.4","56.1","57","99.5","116.19","True","1790360949.4982","1790360961.4146","16.275","11.7087","11.9128","0.204","4704427697460.753","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","163.37","30.01","172.9","58.3","60","96.8","127.88","True","1790360973.7598","1790360984.8148","15.188","10.8628","11.0551","0.1923","5070768785446.878","FLOP/s","True","21","28","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","186.49","66.91","199.5","59.4","61","97.8","144.85","True","1790360997.0045","1790361007.3819","14.672","10.2206","10.3741","0.1535","5389421359660.42","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1815","1815","1815","1815","9251","9251","9251","True","0","none","215.16","28.24","230.8","60.8","63","95.3","164.84","True","1790361019.7956","1790361029.5954","14.077","9.6553","9.8023","0.147","5704947434207.629","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1920","1919.2","1905","1920","9251","9251","9251","True","-0.8","none","266.86","84.64","288.7","65.1","68","97.9","200.97","True","1790361041.9829","1790361051.3203","13.639","9.1724","9.3363","0.1639","6005274215530.674","FLOP/s","True","18","25","0x0000000000000404;0x0000000000000004;0x0000000000000400;0x0000000000000000"
"2025","1920","1905","1935","9251","9251","9251","False","-105","below","266.29","64.75","289.48","65.6","68","97.4","201.81","True","1790361063.574","1790361072.9224","13.602","9.175","9.3484","0.1733","6003564732772.056","FLOP/s","True","17","25","0x0000000000000404;0x0000000000000004;0x0000000000000600;0x0000000000000400"
"2130","1920","1875","1950","9251","9251","9251","False","-210","below","268.93","34.71","288.97","65.6","68","91.8","203.6","True","1790361085.2482","1790361094.584","13.561","9.1699","9.3348","0.1649","6006953097299.444","FLOP/s","True","17","25","0x0000000000000404;0x0000000000000604;0x0000000000000004;0x0000000000000400"
