target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
855,855.0,8898.287511816214,136.53,9251.0,1790361112.9889,1790361129.9145,0.8155,1335.0,34,-420
960,960.0,9833.57489047152,143.39,9251.0,1790361142.149,1790361157.5123,0.812,1335.0,31,-420
1065,1065.0,10737.983519856823,153.46,9251.0,1790361169.7755,1790361183.844,0.812,1335.0,29,-420
1170,1170.0,11594.757495639094,162.37,9251.0,1790361196.2412,1790361209.2837,0.812,1335.0,26,-420
1275,1275.0,12428.529462928287,169.26,9251.0,1790361221.701,1790361233.8273,0.812,1335.0,24,-420
1380,1380.0,13237.371474698519,169.63,9251.0,1790361246.1227,1790361257.5091,0.812,1335.0,23,-420
1485,1485.0,14038.347010978541,182.69,9251.0,1790361269.8555,1790361280.6197,0.812,1410.0,22,-420
1605,1605.0,14916.128287175352,201.38,9251.0,1790361293.0532,1790361303.1546,0.856,1530.0,20,-420
1710,1710.0,15656.748757850297,235.08,9251.0,1790361315.3321,1790361324.9513,0.906,1620.0,19,-420
1815,1797.4,16261.417571067714,263.05,9251.0,1790361337.4852,1790361346.7615,0.956,1710.0,18,-420
1920,1812.4,16255.93829682651,261.36,9251.0,1790361359.1815,1790361368.4453,0.956,1710.0,18,-420
2025,1797.4,16247.576412540868,272.68,9251.0,1790361380.6745,1790361389.9663,0.956,1710.0,18,-420
2130,1799.1,16257.48240815986,270.72,9251.0,1790361402.3429,1790361411.6098,0.956,1710.0,19,-420
