"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","129.79","92.76","132.71","56.1","58","99","106.99","True","1790361430.4166","1790361446.9271","21.128","16.1889","16.5099","0.321","8150099257217.619","FLOP/s","True","30","39","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","136.56","73.45","140.74","57.3","58","96.9","109.59","True","1790361459.5651","1790361474.2371","19.502","14.4272","14.6745","0.2472","9145294825919.783","FLOP/s","True","27","36","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","149.44","129.17","152.04","56.8","58","98.2","118.54","True","1790361487.0722","1790361500.3359","17.921","13.0171","13.2647","0.2477","10136021631260.807","FLOP/s","True","24","33","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","157.1","133.5","160.22","58","59","100","121.36","True","1790361513.0289","1790361525.0562","16.264","11.8584","12.0286","0.1702","11126395224212.68","FLOP/s","True","22","30","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","164.01","95.83","170.35","57.6","59","99.5","124.25","True","1790361537.3222","1790361548.354","15.737","10.8827","11.0332","0.1504","12123917228474.99","FLOP/s","True","20","29","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","170.34","68.49","181.14","58.3","60","97.6","131.57","True","1790361560.9982","1790361571.1883","14.631","10.0351","10.193","0.1579","13147998342364.096","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","177.52","33.09","194.32","58.2","60","95.9","134.95","True","1790361583.7233","1790361593.192","14.103","9.3174","9.47","0.1526","14160744747825.723","FLOP/s","True","18","26","0x0000000000000001;0x0000000000000000"
"1605","1605","1605","1605","9251","9251","9251","True","0","none","207.35","20.97","225.56","59.8","62","93.9","153.44","True","1790361605.8844","1790361614.6877","13.017","8.6263","8.8011","0.1748","15295282818740.457","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1710","1710","1710","1710","9251","9251","9251","True","0","none","244.24","83.84","263.34","63.1","65","100","177.16","True","1790361626.9532","1790361635.2113","12.469","8.0932","8.2593","0.1661","16302743783441.209","FLOP/s","True","16","23","0x0000000000000001;0x0000000000000000"
"1815","1765","1725","1785","9251","9251","9251","False","-50","below","273.43","127.43","289.79","64.7","67","99.1","194.82","True","1790361647.3994","1790361655.3633","11.979","7.8392","7.9622","0.1231","16831045545892.574","FLOP/s","True","15","22","0x0000000000000001;0x0000000000000004"
"1920","1768","1680","1785","9251","9251","9251","False","-152","below","273.78","124.05","289.41","65.2","67","97.7","199.97","True","1790361667.4256","1790361675.3819","12.467","7.842","7.9579","0.1159","16825073513375.283","FLOP/s","True","15","23","0x0000000000000001;0x0000000000000404;0x0000000000000004"
"2025","1763","1740","1800","9251","9251","9251","False","-262","below","271.56","103.63","290.11","65.4","68","99.7","199.64","True","1790361688.0057","1790361695.9662","12.481","7.8421","7.9552","0.1131","16824804469232.566","FLOP/s","True","15","23","0x0000000000000004;0x0000000000000400"
"2130","1778","1725","1890","9251","9251","9251","False","-352","below","271.62","112.5","289.43","65.4","67","97.4","199.41","True","1790361708.4667","1790361716.4364","12.457","7.8408","7.9631","0.1223","16827594020434.436","FLOP/s","True","15","23","0x0000000000000004;0x0000000000000400"
