"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","8754.5","810","9251","True","0","none","129.71","13.89","146.92","51.9","54","94.1","101.56","True","13.074","9.0796","9.237","0.1573","567116082556.119","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","137.03","34.49","149.07","54.8","56","94.4","106.9","True","12.982","8.9944","9.1618","0.1674","572489288089.6986","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","139.69","43.64","150.38","56.9","58","96.4","107.19","True","12.629","8.9867","9.1268","0.1401","572977609474.4855","byte/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","137.65","20.56","151.25","55.2","56","97.5","107.68","True","12.969","8.9816","9.1169","0.1353","573304058440.9552","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","136.37","18.76","150.86","54.6","56","96.3","105.12","True","12.526","8.9777","9.1228","0.1451","573554799684.7189","byte/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9265.7","9251","9501","True","0","none","135.76","18.01","154.44","56.8","58","94","106.41","True","13.058","9.0897","9.2288","0.1391","566485934345.2377","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","8754.5","810","9251","True","0","none","136.8","19.97","153.54","54.9","56","94.1","107.72","True","12.974","9.0224","9.1728","0.1504","570713917091.3903","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","149.33","60.67","158.65","54.7","56","100","115.63","True","12.552","8.969","9.1094","0.1404","574111818344.6499","byte/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","156.94","44.76","170.53","57.8","59","94.8","123.6","True","12.992","9.0071","9.1438","0.1367","571680149774.5961","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","168.5","52.16","182.15","57.2","58","94.9","133.01","True","13.045","8.9898","9.1468","0.157","572779944612.8145","byte/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","186.35","46.08","202.51","57.5","59","97.2","145.18","True","12.495","8.9585","9.1147","0.1562","574782101692.5619","byte/s","True","17","23","0x0000000000000001;0x0000000000000000"
"2010","1949.1","1935","1950","9251","9251","9251","False","-60.9","below","197.56","36.79","216.76","57.9","59","97.4","156.52","True","12.978","8.957","9.1046","0.1475","574877986077.3436","byte/s","True","17","24","0x0000000000000000"
"2115","1948.2","1920","1950","9251","9251","9251","False","-166.8","below","195.38","31.03","216.75","57.5","59","94.2","152.44","True","12.544","8.9537","9.1055","0.1517","575089067494.4938","byte/s","True","17","23","0x0000000000000000"
