"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","145.97","31.45","157.05","54.4","56","98","116.87","True","14.737","10.5846","10.7755","0.1909","279114038327.76105","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","146.79","14.81","163.57","57.2","59","94.8","116.49","True","14.127","10.1104","10.2816","0.1712","292205580155.81256","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","154.69","45.38","166.02","56.1","57","96.6","121.67","True","13.535","9.7486","9.8865","0.138","303051385086.91925","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","156.66","47.61","168.69","55.5","57","95.4","121.38","True","13.057","9.4979","9.6493","0.1513","311047692637.11224","FLOP/s","True","18","24","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","157.33","30.34","173.89","57.9","59","97.1","122.54","True","13.112","9.3082","9.4601","0.1519","317388104290.07623","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9265.7","9251","9501","True","0","none","155.87","18.62","173.48","56.2","57","94.2","121.9","True","12.937","9.1565","9.2983","0.1418","322646160424.42633","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","159.51","19.71","177.3","54.9","56","94.6","124.16","True","13.039","9.0209","9.173","0.1521","327497395974.2933","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","8754.5","810","9251","True","0","none","165.78","19.43","187.59","56.5","59","94.1","127.63","True","12.468","8.9549","9.0959","0.141","329911117423.2522","FLOP/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","8754.5","810","9251","True","0","none","181.38","22.11","202.04","57.1","59","92.8","139.8","True","12.516","8.9294","9.0617","0.1323","330851784446.8015","FLOP/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","206.18","66.09","223.02","58.6","60","95.9","158.8","True","12.566","8.9093","9.048","0.1387","331598870599.5767","FLOP/s","True","17","23","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","236.83","54.32","258.77","60.8","63","95.9","182.39","True","12.446","8.9062","9.0379","0.1317","331715304081.5645","FLOP/s","True","17","23","0x0000000000000001;0x0000000000000000"
"2010","1935","1920","1950","9251","9251","9251","False","-75","below","251.22","60.39","274.05","61.8","64","95.3","193.7","True","12.456","8.9005","9.0441","0.1436","331926285392.1604","FLOP/s","True","17","23","0x0000000000000000"
"2115","1935.9","1920","1950","9251","9251","9251","False","-179.1","below","249.87","68.03","273.61","61.9","64","95.1","193.3","True","12.704","8.9355","9.1139","0.1784","330625522456.31696","FLOP/s","True","16","23","0x0000000000000000"
