"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9009.8","810","9251","True","0","none","142.48","13.97","151.21","56.3","59","94.7","124.22","True","22.746","18.3208","18.7097","0.389","6499390313391.216","FLOP/s","True","35","42","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","154.5","26.06","163.87","56.7","58","97.2","132.75","True","20.64","16.3206","16.6124","0.2918","7295899184371.148","FLOP/s","True","31","38","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","8949.5","810","9251","True","0","none","160.76","14.48","174.38","57.3","59","94.1","136.02","True","18.99","14.718","15.003","0.285","8090348258008.748","FLOP/s","True","28","35","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","8913.4","810","9251","True","0","none","169.44","15.01","184.97","57.4","59","92.8","140.8","True","17.443","13.4219","13.6702","0.2482","8871575331036.842","FLOP/s","True","25","32","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","8899.3","810","9251","True","0","none","178.08","16.59","195.66","58.1","60","95.1","145.8","True","16.223","12.3789","12.6347","0.2557","9619075904188.771","FLOP/s","True","24","30","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","187.69","17.09","206.97","58.3","60","92.5","152.46","True","15.688","11.4805","11.7021","0.2216","10371839431070.184","FLOP/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","8829","810","9251","True","0","none","201.56","18.43","219","58.4","61","90.4","161.29","True","14.721","10.5967","10.8184","0.2217","11236921000191.783","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","224.52","22.37","248.2","60.5","63","96.2","175.38","True","13.612","9.8882","10.0445","0.1563","12042009350277.94","FLOP/s","True","19","25","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","8754.5","810","9251","True","0","none","254.86","21.87","288.98","62.7","66","94.2","197.9","True","13.141","9.2835","9.4512","0.1677","12826415047417.072","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1800","1708.2","1680","1800","9251","9251","9251","False","-91.8","below","268.43","73.62","291.24","63.8","66","95.5","207.91","True","13.09","9.2548","9.4199","0.1652","12866185065437.191","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1905","1702.9","1590","1905","9251","9251","9251","False","-202.1","below","264.48","36.28","290.51","63.8","67","96.6","206.24","True","13.117","9.2433","9.413","0.1697","12882184121871.307","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2010","1715.3","1665","1920","8754.5","810","9251","False","-294.7","below","260.29","29.89","290.06","64","67","94.1","204.04","True","13.143","9.2451","9.4125","0.1675","12879683231662.6","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000000"
"2115","1757.1","1650","1935","9251","9251","9251","False","-357.9","below","280.41","218.19","290.08","67.1","69","98.8","266.55","True","14.725","10.8584","11.0691","0.2107","10966060825292.771","FLOP/s","True","21","27","0x0000000000000004;0x0000000000000000"
