"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","8908","810","9251","True","0","none","120.34","14.17","138","54.5","56","78.7","104.25","True","27.393","21.3101","22.1672","0.8571","5897243386127.381","FLOP/s","True","37","45","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","136.06","49.58","149.53","56.5","59","93","97.43","True","29.851","17.9119","18.4423","0.5305","7016067071582.986","FLOP/s","True","32","47","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","148.5","16.39","158.86","56.6","58","95.6","125.8","True","18.902","14.9179","15.165","0.2471","8424137602427.484","FLOP/s","True","28","35","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","158.39","29.52","170.01","57.7","59","97.3","132.19","True","17.796","13.5787","13.8093","0.2306","9255022389035.959","FLOP/s","True","26","33","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","169.8","47","180.16","57.7","59","98.7","139.22","True","16.248","12.4617","12.6846","0.2229","10084570429728.865","FLOP/s","True","24","30","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","8867.3","810","9251","True","0","none","172.85","17.3","191.5","58","60","93.5","140.95","True","15.661","11.5158","11.6939","0.1781","10912866437547.84","FLOP/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","186.03","52.73","199","58.9","61","99.5","149.2","True","14.636","10.7083","10.8669","0.1586","11735782369187.918","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","205.34","25","225.26","60.1","62","97.4","163.37","True","14.115","10.0118","10.1444","0.1326","12552253109714.32","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","8782.1","810","9251","True","0","none","233.39","22.41","264.59","62","65","92.2","182.87","True","13.517","9.4021","9.5527","0.1505","13366178081445.838","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1800","1753.2","1680","1800","8754.5","810","9251","False","-46.8","below","259.29","24.7","290.03","63.6","67","92.1","201.57","True","13.034","9.1029","9.2488","0.1459","13805605858069.021","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000004"
"1905","1753.2","1695","1770","9251","9251","9251","False","-151.8","below","270.65","87.48","290.06","64.8","67","97.8","210.51","True","13.038","9.0918","9.2544","0.1626","13822403272093.645","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000004"
"2010","1763.8","1725","1890","9251","9251","9251","False","-246.2","below","269.82","75.35","289.86","64.9","67","98.4","210.72","True","13.029","9.0718","9.2155","0.1437","13852934894066.363","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000000"
"2115","1761.2","1665","1920","9251","9251","9251","False","-353.8","below","266.35","47.2","290","64.5","67","95.6","208.29","True","13.073","9.0785","9.2322","0.1538","13842712672847.602","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000000"
