"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","114","68.15","116.57","54.2","56","99.2","98.63","True","24.225","19.7196","20.0455","0.3259","2793314078276.1562","FLOP/s","True","38","45","0x0000000000000001;0x0000000000000000"
"960","960","960","960","9251","9251","9251","True","0","none","121.16","88.85","124.55","57.7","58","99.8","103.67","True","22.359","17.6487","17.8638","0.2152","3121084614307.9995","FLOP/s","True","33","41","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","124.51","52.5","128.73","54.9","56","100","103.76","True","20.251","15.9828","16.1866","0.2038","3446379953325.7354","FLOP/s","True","30","37","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","9251","9251","9251","True","0","none","131.21","84.16","134.66","55.5","57","100","108.47","True","19.007","14.6108","14.8035","0.1927","3770016783901.337","FLOP/s","True","27","35","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","137.24","81.93","141.71","58.6","59","97.5","111.78","True","17.779","13.4534","13.6323","0.1789","4094339519663.8687","FLOP/s","True","25","33","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","143.26","99.68","146.67","56.5","57","98.2","115.57","True","16.989","12.4703","12.6441","0.1739","4417143416397.724","FLOP/s","True","23","31","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","148.2","103.16","152.46","56.2","58","98.3","117.63","True","15.588","11.6163","11.8068","0.1905","4741857061169.16","FLOP/s","True","22","29","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9251","9251","9251","True","0","none","163.91","88.11","171.35","58.2","59","97.8","127.92","True","15.093","10.8847","11.0884","0.2037","5060565747434.51","FLOP/s","True","20","28","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","9251","9251","9251","True","0","none","182.34","71.74","193.17","58.6","60","98.9","140.86","True","14.486","10.2355","10.4033","0.1678","5381563661434.86","FLOP/s","True","19","27","0x0000000000000001;0x0000000000000000"
"1800","1800","1800","1800","9251","9251","9251","True","0","none","219.88","165.12","226.56","60.6","62","97.8","165","True","13.677","9.6743","9.8206","0.1463","5693757935800.1045","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1905","1905","1905","1905","9251","9251","9251","True","0","none","266.33","174.82","278.65","63.6","66","96.9","201.13","True","13.463","9.1885","9.3525","0.164","5994765436990.7","FLOP/s","True","17","25","0x0000000000000001;0x0000000000000000"
"2010","1920.9","1905","1935","9251","9251","9251","False","-89.1","below","280.07","183.19","289.67","65.1","67","98","208.6","True","13.024","9.1192","9.262","0.1428","6040311782584.499","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000000"
"2115","1916.5","1890","1935","9251","9251","9251","False","-198.5","below","278.34","166.55","289.02","65.2","67","98","206.84","True","13.143","9.1312","9.2703","0.1391","6032390487181.209","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000000"
