"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"855","855","855","855","9251","9251","9251","True","0","none","135.53","15.89","145.81","55.7","58","95.4","116.62","True","20.664","16.468","16.7229","0.2549","8999402721294.354","FLOP/s","True","31","38","0x0000000000000001;0x0000000000000000"
"960","960","960","960","8959.9","810","9251","True","0","none","144.74","15.07","153.04","56.8","58","95.4","122.55","True","18.971","14.9035","15.1526","0.2491","9944086892602.76","FLOP/s","True","29","35","0x0000000000000001;0x0000000000000000"
"1065","1065","1065","1065","9251","9251","9251","True","0","none","153.24","37.43","162.36","57.3","59","98.3","128.22","True","17.871","13.6569","13.887","0.23","10851788387748.906","FLOP/s","True","26","33","0x0000000000000001;0x0000000000000000"
"1170","1170","1170","1170","8899.3","810","9251","True","0","none","156.85","15.65","170.9","56.4","58","95.5","129.77","True","16.789","12.6399","12.8763","0.2364","11724932556565.594","FLOP/s","True","24","31","0x0000000000000001;0x0000000000000000"
"1275","1275","1275","1275","9251","9251","9251","True","0","none","165.27","22.37","180.22","57.3","59","95.9","134.43","True","15.719","11.7919","11.9854","0.1936","12568164794499.15","FLOP/s","True","23","29","0x0000000000000001;0x0000000000000000"
"1380","1380","1380","1380","9251","9251","9251","True","0","none","175.49","47.56","188.33","57.2","59","98.1","141.83","True","15.179","11.0744","11.2695","0.195","13382352505717.719","FLOP/s","True","21","28","0x0000000000000001;0x0000000000000000"
"1485","1485","1485","1485","9251","9251","9251","True","0","none","179.01","23.4","197.44","57.6","60","95.8","144.01","True","14.594","10.4474","10.6504","0.203","14185549001030.33","FLOP/s","True","20","27","0x0000000000000001;0x0000000000000000"
"1590","1590","1590","1590","9264.2","9251","9501","True","0","none","196.35","20.26","219.17","58.7","61","94.4","155.82","True","14.055","9.9101","10.0454","0.1354","14954731361989.715","FLOP/s","True","19","26","0x0000000000000001;0x0000000000000000"
"1695","1695","1695","1695","8782.1","810","9251","True","0","none","224.92","21.85","251.29","60.2","63","94.4","177.21","True","13.528","9.4393","9.5724","0.133","15700489409153.45","FLOP/s","True","18","25","0x0000000000000001;0x0000000000000000"
"1800","1792.9","1770","1800","9251","9251","9251","True","-7.1","none","266.85","55.6","289.59","63.4","66","99.4","206.87","True","13","9.046","9.2003","0.1543","16383127306960.643","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1905","1796.5","1740","1860","9251","9251","9251","False","-108.5","below","264.57","41.83","290.01","63.6","66","94","206.22","True","12.965","9.0344","9.1855","0.1511","16404290711108.727","FLOP/s","True","17","24","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2010","1793.8","1740","1815","9251","9251","9251","False","-216.2","below","268.26","66.01","291.5","63.6","66","98.8","209.59","True","12.964","9.0307","9.1766","0.1458","16410891868453.998","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000000"
"2115","1795.6","1740","1815","9251","9251","9251","False","-319.4","below","268.89","68.5","291.66","64.1","66","99.8","210.04","True","13.006","9.0445","9.2065","0.162","16385929174271.21","FLOP/s","True","17","24","0x0000000000000004;0x0000000000000000"
