"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1402","1399.7","1395","1402","16301","16301","16301","True","-2.3","none","53.14","24.06","55.76","39.9","40","97.8","47.29","True","15.053","12.7953","13.0172","0.2219","302101665616.27057","byte/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1477","1470","1470","1470","16301","16301","16301","True","-7","none","53.14","15.54","57.4","39.1","40","98.4","47.48","True","15.099","12.3134","12.5262","0.2128","313924732433.51385","byte/s","True","23","28","0x0000000000000001;0x0000000000000000"
"1560","1552","1552","1552","15596.9","810","16301","True","-8","none","55.76","12.95","59.59","38.9","39","94.2","50.97","True","13.997","11.3802","11.5537","0.1735","339666873353.525","byte/s","True","22","26","0x0000000000000001;0x0000000000000000"
"1635","1627","1627","1627","16301","16301","16301","True","-8","none","58.41","28.23","61.51","39.1","40","98.2","51.24","True","13.428","11.0606","11.2628","0.2022","349482637117.43976","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1710","1702","1702","1702","16301","16301","16301","True","-8","none","60.21","15.82","64.71","39.4","40","98.2","54.59","True","12.936","10.5472","10.7151","0.1679","366493732681.7798","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1792","1785","1785","1785","15485.7","810","16301","True","-7","none","62.67","15.09","67.7","39.7","40","94","56.7","True","12.388","10.0485","10.2287","0.1802","384680812300.5749","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1867","1860","1860","1860","15485.7","810","16301","True","-7","none","63.88","15.7","70.31","39.9","41","92.4","57.33","True","11.85","9.7823","9.9201","0.1378","395148777729.87714","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1942","1935","1935","1935","15485.7","810","16301","True","-7","none","64.97","16.32","72.47","40.3","41","93.1","58.32","True","11.866","9.6091","9.7567","0.1476","402271478650.44165","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"2025","2017","2017","2017","15440.4","810","16301","True","-8","none","67.77","17.19","74.61","40.7","41","91.9","61.18","True","11.924","9.4773","9.6267","0.1494","407864705008.45544","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2100","2077.4","2077","2085","15440.4","810","16301","True","-22.6","none","68.22","17.24","74.75","40.9","42","90.2","61.13","True","11.967","9.4738","9.6153","0.1415","408017479050.7342","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
