"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.9","1230","1237","16301","16301","16301","True","-1.1","none","61.39","13.6","66.3","46.8","47","96.7","55.25","True","12.256","10.0874","10.2431","0.1557","309287643680.8338","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1395","1393.7","1387","1395","16301","16301","16301","True","-1.3","none","64.45","21.52","69.32","45.9","46","95.2","57.15","True","11.245","9.3362","9.4572","0.121","334172783585.8432","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15389.8","810","16301","True","-8","none","64.09","13.68","71.16","45.6","46","93.5","56.55","True","10.744","8.7866","8.9186","0.132","355075746690.5331","byte/s","True","17","20","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","71.89","20.72","78.34","45.7","46","95.9","62.95","True","10.148","8.1828","8.3051","0.1224","381278222580.37244","byte/s","True","16","19","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","76.92","16.05","86.1","46.2","47","92.9","67.79","True","10.106","7.8891","7.9858","0.0967","395469545064.5171","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15268.3","810","16301","True","-8","none","82.02","17.58","93.88","46.7","48","92.7","71.31","True","9.613","7.7267","7.8229","0.0963","403784251682.34216","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2167","2131","2130","2145","16301","16301","16301","False","-36","below","85.62","26.55","93.67","47.1","48","95.1","74.35","True","9.741","7.7533","7.8587","0.1054","402398892162.7642","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2317","2256.3","2250","2280","15268.3","810","16301","False","-60.7","below","83.5","19.12","94.07","47.1","48","92.7","72.73","True","9.728","7.7505","7.8467","0.0962","402542630150.7659","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2475","2425.5","2422","2467","16301","16301","16301","False","-49.5","below","87.02","24.05","95.34","47.4","48","95.8","75.74","True","9.687","7.729","7.8202","0.0912","403661142019.4449","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2625","2548.6","2542","2610","15681","7001","16301","False","-76.4","below","85.16","19.32","95.35","47.5","48","92.6","74.18","True","9.639","7.718","7.8065","0.0886","404240204215.9236","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2782","2760.5","2752","2775","16301","16301","16301","True","-21.5","none","90.17","33.87","97.2","48","49","96.1","78.48","True","9.593","7.7247","7.8165","0.0918","403885297913.2997","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","94.95","25.41","104.12","48.9","50","95.4","82.75","True","9.581","7.6644","7.7559","0.0915","407064913384.0457","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"3090","3015","3015","3015","15681","7001","16301","False","-75","below","96.91","23.13","109.25","49.1","50","92.6","84.64","True","9.568","7.6454","7.7354","0.09","408077878129.4499","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
