"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.7","1230","1237","16301","16301","16301","True","-1.3","none","65.4","12.52","69.65","47.8","49","94.8","61.08","True","19.324","16.922","17.1822","0.2602","3731817898543.783","FLOP/s","True","32","36","0x0000000000000001;0x0000000000000000"
"1395","1392.1","1387","1395","16301","16301","16301","True","-2.9","none","71.21","13.39","75.64","47.9","49","96.9","65.86","True","17.147","14.875","15.1062","0.2312","4245368795150.666","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15681.4","810","16301","True","-8","none","75.28","13.55","81.92","48.3","49","93.8","69.24","True","15.532","13.3637","13.5699","0.2062","4725472835170.481","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","15627.5","810","16301","True","-7","none","85.39","15.53","92.78","49.7","51","92.3","77.41","True","13.962","11.9728","12.134","0.1613","5274461792950.065","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15563.3","810","16301","True","-7","none","98.73","17.32","108.65","51.5","53","92.8","88.6","True","12.885","10.9231","11.1151","0.192","5781304213457.996","FLOP/s","True","21","24","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15485.7","810","16301","True","-8","none","112.67","18.07","125.57","53.7","55","93.9","100.44","True","12.351","10.018","10.1457","0.1276","6303632236413.428","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2167","2141.4","2137","2152","16301","16301","16301","True","-25.6","none","117.6","18.11","130.79","54.8","56","93.8","104.64","True","11.806","9.498","9.6246","0.1266","6648761611399.549","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2317","2273.8","2272","2295","16301","16301","16301","False","-43.2","below","123.67","25.3","136.05","55.6","57","96.1","109.06","True","11.241","9.0321","9.1657","0.1336","6991739515936.557","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2475","2436.8","2430","2467","15719.8","7001","16301","False","-38.2","below","128.36","19.92","145.59","56.4","58","93.1","112.79","True","10.709","8.4075","8.5384","0.1309","7511108840636.343","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2625","2563.3","2557","2587","16301","16301","16301","False","-61.7","below","135.43","24.93","150.98","57.5","59","96.1","118.03","True","10.223","8.074","8.1986","0.1246","7821415975676.309","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2782","2690","2587","2775","15109.4","810","16301","False","-92","below","143.14","17.15","166.98","58.5","61","92.4","122.2","True","9.199","7.13","7.2305","0.1005","8856971214083.834","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2666.2","2587","2910","16301","16301","16301","False","-265.8","below","143.93","16.23","164.84","58.8","61","95.1","121.43","True","9.16","7.1435","7.259","0.1154","8840156352633.67","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2675.6","2587","3015","16301","16301","16301","False","-414.4","below","141.39","10.91","163.47","58.2","61","92.3","120.02","True","9.146","7.1644","7.271","0.1066","8814395353614.008","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
