"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.4","1230","1237","16301","16301","16301","True","-1.6","none","63.71","8.05","67.48","48.7","49","97.4","59.05","True","20.407","17.9812","18.2303","0.2491","4493472218281.187","FLOP/s","True","34","38","0x0000000000000001;0x0000000000000000"
"1395","1392.1","1387","1395","16301","16301","16301","True","-2.9","none","69.84","11.07","74.52","48.6","49","98.6","64.45","True","18.241","15.9566","16.1949","0.2383","5063637553042.468","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","74.53","23.32","79.47","48.9","50","97.6","68.25","True","16.655","14.4582","14.7368","0.2785","5588387709651.512","FLOP/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","84.37","9.59","91.09","50.4","52","96.5","76.2","True","15.035","13.099","13.3203","0.2213","6168275077923.358","FLOP/s","True","25","28","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","99.21","9.22","107.06","52.3","54","96.9","88.67","True","13.994","12.0444","12.1958","0.1514","6708380036279.434","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","112.93","8.67","124.25","54.6","56","95.4","100.72","True","13.454","11.1038","11.2657","0.162","7276658517341.729","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2159.2","2145","2160","16301","16301","16301","True","-7.8","none","117.8","9.43","130.65","55.6","57","95.2","103.79","True","12.342","10.4586","10.6154","0.1568","7725510935417.903","FLOP/s","True","20","23","0x0000000000000001;0x0000000000000000"
"2317","2305","2287","2310","16301","16301","16301","True","-12","none","124.81","14.84","136.85","56.8","58","97.3","109.49","True","11.872","9.8985","10.0264","0.1279","8162702605786.271","FLOP/s","True","19","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","132.34","21.48","146.35","57.8","60","95.6","115.9","True","11.313","9.1866","9.3086","0.122","8795234772071.278","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2625","2610","2610","2610","15389.8","810","16301","True","-15","none","135.16","10.05","152.11","57.9","61","90.8","117.04","True","10.758","8.7621","8.9056","0.1435","9221358868288.521","FLOP/s","True","17","20","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","146.16","10.54","164.89","59.7","62","95","126.29","True","10.241","8.0235","8.1176","0.0941","10070189056752.193","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2917.4","2895","2925","16301","16301","16301","True","-14.6","none","165.96","42.46","187.65","63.1","65","97.3","142.37","True","9.658","7.6411","7.7476","0.1065","10574130297724.934","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","2919.4","2887","3015","16301","16301","16301","False","-170.6","below","163.79","15.44","184.9","62.2","65","95.5","140.77","True","9.668","7.6485","7.7518","0.1033","10563958314282.643","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
