# watcher started 2026-09-07T12:38:42.0844144-07:00
timestamp,sm_mhz,mem_mhz,power_w,temp_c,util_pct,offsets_intact,crash_events_since_start
2026-09-07T12:38:42.1934978-07:00,1695,7001,16.32,42,5,idle,0
2026-09-07T12:39:02.2467512-07:00,1845,810,16.08,41,5,idle,0
2026-09-07T12:39:22.3005778-07:00,2002,16301,70.21,46,99,yes,0
2026-09-07T12:39:42.3544166-07:00,2130,16301,91.36,47,99,yes,0
2026-09-07T12:40:02.4055795-07:00,2257,16301,93.94,48,99,yes,0
2026-09-07T12:40:22.4573920-07:00,2422,16301,95.34,48,99,yes,0
2026-09-07T12:40:42.5034836-07:00,2775,7001,21.82,43,3,idle,0
2026-09-07T12:41:02.5573273-07:00,2925,7001,21.81,43,3,idle,0
2026-09-07T12:41:22.6116085-07:00,3015,7001,23.31,43,3,idle,0
2026-09-07T12:41:42.6600462-07:00,1230,810,12.39,42,5,idle,0
2026-09-07T12:42:02.7105675-07:00,1387,7001,15.81,41,5,idle,0
2026-09-07T12:42:22.7686196-07:00,1537,16501,16.41,41,5,idle,0
2026-09-07T12:42:42.8224407-07:00,1695,7001,17.38,41,4,idle,0
2026-09-07T12:43:02.8754855-07:00,1845,7001,17.75,40,4,idle,0
2026-09-07T12:43:22.9221485-07:00,2002,7001,18.64,41,3,idle,0
2026-09-07T12:43:42.9806612-07:00,2145,7001,18.82,41,3,idle,0
2026-09-07T12:44:03.0253646-07:00,2287,810,18.82,41,4,idle,0
2026-09-07T12:44:23.0879760-07:00,2460,16301,34.88,45,99,yes,0
2026-09-07T12:44:43.1414004-07:00,2542,16301,90.10,46,99,yes,0
2026-09-07T12:45:03.1952587-07:00,2760,16301,91.88,47,99,yes,0
2026-09-07T12:45:23.2490564-07:00,2925,16301,98.32,48,99,yes,0
2026-09-07T12:45:43.2946348-07:00,3015,16501,78.07,44,3,idle,0
2026-09-07T12:46:03.3400812-07:00,1237,16301,74.88,46,65,yes,0
2026-09-07T12:46:23.3856082-07:00,1395,16301,81.15,46,99,yes,0
2026-09-07T12:46:43.4394433-07:00,1537,16301,86.50,47,99,yes,0
2026-09-07T12:47:03.4974660-07:00,1695,16301,96.39,48,99,yes,0
2026-09-07T12:47:23.5471216-07:00,1845,16301,107.83,50,99,yes,0
2026-09-07T12:47:43.6011043-07:00,2152,16501,20.90,43,3,idle,0
2026-09-07T12:48:03.6473109-07:00,2295,7001,19.25,43,4,idle,0
2026-09-07T12:48:23.7003987-07:00,2467,7001,19.62,43,3,idle,0
2026-09-07T12:48:43.7583638-07:00,2610,7001,19.78,43,3,idle,0
2026-09-07T12:49:03.8080655-07:00,2752,16301,123.26,53,99,yes,0
2026-09-07T12:49:23.8619056-07:00,2917,16301,133.06,54,99,yes,0
2026-09-07T12:49:43.9157825-07:00,3007,16301,136.79,54,69,yes,0
2026-09-07T12:50:03.9738001-07:00,1237,16301,81.75,48,99,yes,0
2026-09-07T12:50:24.0151504-07:00,1387,16301,87.50,48,99,yes,0
