"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.9","1230","1237","15705.2","810","16301","True","-1.1","none","47.92","12.43","51.41","44.1","45","94","44.27","True","15.672","13.625","13.8289","0.2039","252769924242.54095","byte/s","True","26","29","0x0000000000000001;0x0000000000000000"
"1395","1393.1","1387","1395","16301","16301","16301","True","-1.9","none","49.98","14.93","53.2","43","43","97.8","46.1","True","14.996","12.7539","12.9575","0.2036","270035518138.61313","byte/s","True","25","28","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","52.56","19.68","55.73","42","42","97","48.03","True","13.454","11.3404","11.5304","0.1899","303692048784.87103","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","57.53","20.65","61.89","41.9","42","94.8","51.64","True","11.891","10.0171","10.1694","0.1523","343810845734.7355","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","62.84","25.58","66.7","42.2","43","95.9","56.19","True","11.211","9.2473","9.3793","0.132","372431548373.6388","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","66.55","17.35","73.15","42.7","43","93.4","59.47","True","10.669","8.4192","8.5506","0.1314","409062686421.70966","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2167","2145","2145","2145","15332.8","810","16301","True","-22","none","68.22","17.19","73.46","42.8","43","93","60.2","True","10.673","8.4224","8.5486","0.1262","408910336708.381","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2317","2286.1","2280","2287","16301","16301","16301","False","-30.9","below","67.46","17.39","74.01","42.7","43","93.2","60.19","True","10.779","8.3588","8.5081","0.1493","412023269696.1027","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2475","2453","2452","2460","16301","16301","16301","True","-22","none","69.72","26.3","75.07","42.9","43","96.2","61.69","True","10.253","8.2526","8.3871","0.1345","417323642409.4","byte/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2625","2589.4","2587","2602","15719.8","7001","16301","False","-35.6","below","67.91","19.07","75.26","42.8","43","93","60.2","True","10.246","8.2641","8.4089","0.1448","416739960182.0193","byte/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","71.05","22.29","76.99","43.1","44","95.7","62.96","True","10.215","8.1266","8.2713","0.1447","423793301486.68396","byte/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15636.7","7001","16301","True","-7","none","75.57","21.11","85.7","43.6","44","92.1","67.07","True","9.697","7.6244","7.7222","0.0978","451709138714.62396","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","3015.5","3015","3022","16301","16301","16301","False","-74.5","below","82.42","33.12","89.28","44.3","45","93.5","72.85","True","9.753","7.5571","7.6633","0.1062","455727586691.3457","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
